NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Fam64a	na	0	4.751741886138916	0.050488673	Yes	
row_1	Icos	na	18	2.6226589679718018	0.07791618	Yes	
row_2	Uqcrb	na	145	1.4802488088607788	0.0903903	Yes	
row_3	Ccl5	na	202	1.3268007040023804	0.103041746	Yes	
row_4	Mphosph6	na	248	1.2476065158843994	0.11513581	Yes	
row_5	Lyar	na	269	1.2086535692214966	0.12746161	Yes	
row_6	Tor4a	na	272	1.2006964683532715	0.14016771	Yes	
row_7	Ehbp1l1	na	282	1.184814691543579	0.1525243	Yes	
row_8	Shmt1	na	302	1.1474385261535645	0.1642255	Yes	
row_9	Prdx2	na	404	1.0528161525726318	0.17280366	Yes	
row_10	Hprt	na	435	1.0282044410705566	0.18295388	Yes	
row_11	Runx3	na	461	1.0076693296432495	0.19301504	Yes	
row_12	Dazap2	na	482	0.9930130839347839	0.2030496	Yes	
row_13	Efhd2	na	485	0.9913042187690735	0.21353084	Yes	
row_14	Ofd1	na	493	0.986029326915741	0.22382693	Yes	
row_15	Arnt2	na	507	0.9786049127578735	0.23388916	Yes	
row_16	Eif4a-ps4	na	509	0.9756999015808105	0.24423045	Yes	
row_17	Ssr2	na	550	0.9513444304466248	0.25330576	Yes	
row_18	BC030867	na	642	0.8802379965782166	0.26030847	Yes	
row_19	Plk4	na	759	0.8232603073120117	0.26606014	Yes	
row_20	Usp5	na	803	0.8027809262275696	0.27347943	Yes	
row_21	Cox6a1	na	847	0.7835775017738342	0.2806947	Yes	
row_22	Spcs3	na	879	0.7730287313461304	0.28810778	Yes	
row_23	Psmb2	na	888	0.7685366868972778	0.29606712	Yes	
row_24	Nudcd2	na	921	0.7527221441268921	0.3032386	Yes	
row_25	Mrpl54	na	930	0.7503523230552673	0.31100473	Yes	
row_26	Mrgpre	na	939	0.7481638789176941	0.31874758	Yes	
row_27	1700037H04Rik	na	952	0.7421417236328125	0.32632318	Yes	
row_28	C2cd2	na	974	0.7334818243980408	0.3335743	Yes	
row_29	Cebpa	na	978	0.732438325881958	0.3412792	Yes	
row_30	Chek2	na	1011	0.7232378125190735	0.3481374	Yes	
row_31	Fkbp2	na	1031	0.7178515195846558	0.35527414	Yes	
row_32	Lsm5	na	1048	0.7111625671386719	0.36241725	Yes	
row_33	Phf10	na	1122	0.6914414763450623	0.3678788	Yes	
row_34	Tmem14c	na	1127	0.6898193955421448	0.37510502	Yes	
row_35	Nfil3	na	1152	0.6817404627799988	0.38172892	Yes	
row_36	Reep3	na	1175	0.6723522543907166	0.3883047	Yes	
row_37	Gm5559	na	1192	0.6668605804443359	0.3949771	Yes	
row_38	Hnrnpa1	na	1231	0.6536038517951965	0.40094048	Yes	
row_39	1810009A15Rik	na	1241	0.6512902975082397	0.4076282	Yes	
row_40	Ndufb8	na	1285	0.6362217664718628	0.41327778	Yes	
