NAME	TITLE	SCORE	
Fam64a	na	4.751742	
Aurka	na	4.450653	
Nav2	na	3.8334372	
Cenpe	na	3.5922608	
Hist1h2ap	na	3.3915732	
Ebf1_2	na	3.3392563	
Id2	na	3.2643874	
Bcl2a1b	na	3.2616403	
S100a11	na	3.1842272	
Ahcy	na	3.0699363	
Aldh5a1	na	2.915186	
S100a4	na	2.911309	
Snrnp27	na	2.7976506	
Prkaca	na	2.750173	
RP23-45G16.5	na	2.7433667	
Lgals1	na	2.7145836	
Bst2	na	2.681275	
Rras	na	2.6343126	
Icos	na	2.622659	
Samsn1	na	2.5666428	
H2-Eb1	na	2.4753342	
Prc1	na	2.4543703	
Gtf3c6	na	2.3541853	
S100a6	na	2.35075	
Eif1a	na	2.316008	
Evi2a	na	2.2871385	
Tmem256	na	2.2663534	
Maf	na	2.2425952	
Slc25a17	na	2.1999068	
Zfp513	na	2.179761	
Mtch1	na	2.170136	
Rbm43	na	2.1574695	
Trappc10	na	2.1464703	
Mpeg1	na	2.1382809	
Akip1	na	2.129116	
Kif3b	na	2.1227539	
Racgap1	na	2.085367	
Cd74	na	2.0711257	
Gm10800	na	2.0574226	
S100a10	na	2.0530055	
C330027C09Rik	na	2.0516882	
Ywhaq	na	2.0338426	
Birc5	na	2.021981	
Comt	na	2.0170956	
Msrb1	na	2.016504	
Gm12355	na	2.011966	
Ly9	na	2.0118334	
Mtmr1	na	2.0096636	
Hmgb2	na	2.008291	
Casp8ap2	na	2.0044363	
Cd200r1	na	1.9958844	
Tpd52l2	na	1.9939622	
Bmp7	na	1.9934756	
Isg20	na	1.983928	
Pgp	na	1.9822282	
Mapkap1	na	1.9714496	
Rrm2	na	1.9651506	
Klhl36	na	1.9621562	
Vim	na	1.9580026	
Gm10143	na	1.9235482	
Tacc3	na	1.9228678	
Rab5b	na	1.9168013	
Zbtb17	na	1.9165522	
Trim44	na	1.9110345	
Slamf6	na	1.8890971	
Rab35	na	1.8709663	
Mipol1	na	1.8699441	
Eif1ad	na	1.8634595	
Ube2b	na	1.8540438	
Arpc4	na	1.8299553	
Atp6v1b2	na	1.8259599	
Degs2	na	1.8242621	
Rnaset2a	na	1.8223742	
Cenpq	na	1.8195305	
Commd1	na	1.8045119	
Sub1	na	1.8039328	
Mak16	na	1.7863853	
Capg	na	1.7855868	
Ankrd61	na	1.7831303	
Tpm1	na	1.7778085	
Usp37	na	1.7775896	
Ap1s3	na	1.7619346	
Fam214a	na	1.748335	
1810043H04Rik	na	1.7473531	
Narg2	na	1.746562	
Rtfdc1	na	1.7439927	
Gm10175	na	1.7402318	
Msra	na	1.7237391	
H2-Aa	na	1.7213805	
Hmmr	na	1.7127202	
Cst7	na	1.7056394	
Rgl1	na	1.6995419	
Cks1b	na	1.692948	
Cst3	na	1.6879821	
Akap12	na	1.6829281	
1600002K03Rik	na	1.6817815	
Fgl2	na	1.6817391	
Grik4	na	1.6813693	
Lyz2	na	1.670171	
Ahnak	na	1.6634519	
Aco1	na	1.6603165	
Tmem176b	na	1.6587385	
Ccdc69	na	1.6503029	
Mavs	na	1.6377149	
Ecsit	na	1.6281482	
Gm11362	na	1.6057111	
Atp2a3	na	1.6043825	
Gpank1	na	1.602552	
Slc26a11	na	1.5972393	
Gpx1	na	1.5956922	
Gzmb	na	1.5935731	
Gpr108	na	1.59098	
Serinc3	na	1.5864147	
Supt4a	na	1.5858464	
Zfand6	na	1.5804465	
Nop10	na	1.5790603	
Rpa1	na	1.5664847	
Itgb3bp	na	1.5634415	
Tmem18	na	1.561845	
Anxa4	na	1.5594455	
Crmp1	na	1.5392884	
Filip1l	na	1.5388396	
Cers4	na	1.5381132	
Lamtor3	na	1.5332143	
Ddx1	na	1.531897	
Ints10	na	1.5282458	
4930539E08Rik	na	1.5259961	
Ppp1cc	na	1.5254849	
Gm26870	na	1.5240479	
Cd44	na	1.5230279	
Cd300a	na	1.5228883	
Rb1	na	1.5213416	
Fbxo25	na	1.5169201	
Top2a	na	1.5159409	
Cass4	na	1.5145415	
Hnrnpr	na	1.5051705	
1110037F02Rik	na	1.5032616	
Ppip5k1	na	1.5026816	
Dcakd	na	1.5002419	
Rtf1	na	1.4965919	
Pi4ka	na	1.4913769	
Ghitm	na	1.4912243	
Ap3m1-ps	na	1.4901674	
Fen1	na	1.4878281	
Ap1ar	na	1.482348	
Uqcrb	na	1.4802488	
Fez2	na	1.48019	
Gm21983	na	1.4789916	
Myo1f	na	1.4782227	
Ubald1	na	1.4757992	
Msto1	na	1.4757727	
Il18r1	na	1.473761	
Gm15459	na	1.4729556	
Calr	na	1.4685656	
Tnf	na	1.4677886	
Eif4ebp1	na	1.4601825	
Faim3	na	1.4570663	
Pkm	na	1.4536301	
Ado	na	1.4459184	
Abr	na	1.4417195	
Prdx1	na	1.43783	
Cd52	na	1.4373285	
Cdca3	na	1.436246	
Pds5b	na	1.4342868	
Mapk1ip1l	na	1.4328359	
Prdm11	na	1.4254042	
H2-Ab1	na	1.4252284	
Cox5a	na	1.4219818	
Capza2	na	1.4219643	
Foxk1	na	1.4195493	
Mybbp1a	na	1.415855	
Casd1	na	1.4131761	
Lgals3	na	1.411522	
Csnk2a2	na	1.4104795	
Nusap1	na	1.4067409	
Adam8	na	1.4057329	
Pja1	na	1.4050113	
Krit1	na	1.4012008	
Pld3	na	1.3993176	
Tbrg4	na	1.3968298	
Gm10801	na	1.3964354	
Pdcl3	na	1.3941671	
2310011J03Rik	na	1.3863033	
Krba1	na	1.3835349	
Lig1	na	1.3810556	
Unc93b1	na	1.3749937	
Syce2	na	1.3743287	
Ly86	na	1.3713188	
Fam117b	na	1.3688934	
Ppp2r5e	na	1.3681806	
Mif	na	1.366398	
Itm2c	na	1.3645765	
Ankmy2	na	1.358509	
Rbm42	na	1.3532492	
Prpf3	na	1.3477267	
Myl4	na	1.3464597	
Cisd2	na	1.3418345	
D19Bwg1357e	na	1.3406773	
Smim1	na	1.3357563	
Trip6	na	1.331145	
Nkg7	na	1.328031	
Psme2	na	1.327129	
Ccl5	na	1.3268007	
Ovca2	na	1.3266499	
Mapk8ip3	na	1.319542	
Ipo5	na	1.3174801	
Pirb	na	1.315294	
Snhg5	na	1.3152473	
Rap1gds1	na	1.3141944	
Ncapg2	na	1.3138416	
Abhd17a	na	1.309365	
Siva1	na	1.3069688	
Idua	na	1.3063595	
Dctpp1	na	1.3052882	
Twsg1	na	1.304333	
Pdha1	na	1.3020973	
Aurkb	na	1.3020163	
Tpr	na	1.3000064	
AW146154	na	1.2993137	
Zc3h14	na	1.2978852	
Gm10269	na	1.2975193	
Osbpl3	na	1.2971319	
Gm10718	na	1.2969769	
Hadha	na	1.2947922	
Nop9	na	1.2914922	
Cdc5l	na	1.2909377	
Mcm5	na	1.2890342	
Zfp251	na	1.2803856	
Oxct1	na	1.2801434	
Zfp688	na	1.2793249	
Gm14698_2	na	1.2721144	
Relb	na	1.2718036	
Pglyrp1	na	1.2682486	
Zrsr1	na	1.267879	
Ccdc59	na	1.2658541	
Cdk1	na	1.2629832	
Ulk3	na	1.2603304	
Gtpbp2	na	1.2601947	
Pdcd6	na	1.2588325	
Ifitm2	na	1.2570778	
Kpna2	na	1.2532136	
Dscr3	na	1.2530134	
Stx8	na	1.2520633	
Gm10720	na	1.2506673	
Gm26581	na	1.24985	
Igf1r	na	1.24896	
Plekhm1	na	1.2480916	
Alyref	na	1.248026	
Mphosph6	na	1.2476065	
Iglc2	na	1.240371	
Sit1	na	1.2383372	
Aebp2	na	1.2378999	
Mis18a	na	1.2356976	
Zfp956	na	1.232689	
Wibg	na	1.2318099	
1700017B05Rik	na	1.2279629	
Atp5j2	na	1.2269047	
Ampd2	na	1.2252818	
Arpc5	na	1.2248108	
Rpl22l1	na	1.2243917	
Rad50	na	1.222132	
Cybb	na	1.2209643	
Rae1	na	1.2171931	
Srsf4	na	1.2171795	
Map7	na	1.2145607	
Polr2b	na	1.2144393	
2810417H13Rik	na	1.2095072	
Lat2	na	1.2089553	
Ocrl	na	1.2088126	
Lyar	na	1.2086536	
Mif4gd	na	1.2065955	
Gm9396	na	1.2060571	
Tor4a	na	1.2006965	
Appl1	na	1.2006189	
