NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Acat2	na	219	1.8068928718566895	0.04535312	Yes	
row_1	Arih2	na	412	1.4061332941055298	0.080090016	Yes	
row_2	Cnih1	na	430	1.383376121520996	0.11870388	Yes	
row_3	Gid4	na	438	1.379777193069458	0.15747438	Yes	
row_4	C1qc	na	667	1.1641919612884521	0.18445155	Yes	
row_5	Dek	na	1073	0.9712628126144409	0.20141125	Yes	
row_6	Nat14	na	1124	0.9469420909881592	0.22685228	Yes	
row_7	Ganab	na	1445	0.8280829191207886	0.24196513	Yes	
row_8	Dyrk1b	na	1964	0.6752120852470398	0.24764906	Yes	
row_9	Gmnn	na	2076	0.6545407176017761	0.26326025	Yes	
row_10	Lgals9	na	2259	0.6143498420715332	0.27590322	Yes	
row_11	Rps4y2	na	2301	0.6058349609375	0.29194722	Yes	
row_12	Nelfe	na	2354	0.5960071086883545	0.30742964	Yes	
row_13	Hcn3	na	2559	0.561820387840271	0.3180216	Yes	
row_14	Pxdc1	na	2604	0.5590860843658447	0.33266836	Yes	
row_15	Gm5160	na	2661	0.5552777051925659	0.34689772	Yes	
row_16	4933424M12Rik	na	2724	0.551571786403656	0.3608675	Yes	
row_17	Rnf44	na	2951	0.5378108024597168	0.37021348	Yes	
row_18	Col16a1	na	3003	0.5346554517745972	0.3839898	Yes	
row_19	Ear2	na	3182	0.5216308236122131	0.39411864	Yes	
row_20	Hfe	na	3335	0.5047921538352966	0.40444356	Yes	
row_21	Psme3	na	3531	0.4829981327056885	0.41304275	Yes	
row_22	Anapc7	na	3571	0.47709307074546814	0.42550397	Yes	
row_23	Eif2ak2	na	3582	0.4758146405220032	0.43867803	Yes	
row_24	Nbeal2	na	3737	0.46007487177848816	0.44768894	Yes	
row_25	Gimap5	na	4261	0.3866892158985138	0.4450987	Yes	
row_26	Glcci1	na	4854	0.32456880807876587	0.43897286	Yes	
row_27	Prdm4	na	5117	0.28226181864738464	0.44017497	Yes	
row_28	Tspyl2	na	5245	0.26557064056396484	0.44439226	Yes	
row_29	Eef1e1	na	5384	0.24471740424633026	0.4477368	Yes	
row_30	H2afj	na	5537	0.22470533847808838	0.45015484	Yes	
row_31	Lcmt2	na	5629	0.21206027269363403	0.45379123	Yes	
row_32	Kctd12b	na	5655	0.20688842236995697	0.4589861	Yes	
row_33	2900056M20Rik	na	5787	0.18913534283638	0.46094233	Yes	
row_34	Flot2	na	5831	0.1829940378665924	0.4649978	Yes	
row_35	Stat5a	na	6361	0.11807199567556381	0.4546695	No	
row_36	Setd1a	na	6636	0.08258506655693054	0.4499248	No	
row_37	Aasdh	na	6814	0.06128047779202461	0.4470837	No	
row_38	Panx1	na	6984	0.04229816421866417	0.44391334	No	
row_39	Gm25724	na	7459	0.0	0.43167225	No	
row_40	Gm13433	na	7736	0.0	0.4245445	No	
row_41	Gm17067_2	na	8188	0.0	0.41289738	No	
row_42	Tdpoz5	na	8192	0.0	0.41281992	No	
row_43	Gm11413	na	8386	0.0	0.40783566	No	
row_44	Gm23456	na	8436	0.0	0.40657023	No	
row_45	Avil	na	8667	0.0	0.40063047	No	
row_46	Gsdma	na	8673	0.0	0.40050134	No	
row_47	Gm23556	na	8903	0.0	0.3945874	No	
row_48	Trdv2-1	na	9003	0.0	0.3920307	No	
row_49	Gm13837	na	9128	0.0	0.3888284	No	
row_50	Gm11239	na	9214	0.0	0.38663325	No	
row_51	Gm11205	na	9453	0.0	0.38048688	No	
row_52	Gm23312	na	9954	0.0	0.3675743	No	
row_53	Efna1	na	10057	0.0	0.36494017	No	
row_54	Vmn1r237	na	10115	0.0	0.3634681	No	
row_55	Gm15375	na	10216	0.0	0.36088562	No	
row_56	Lect2	na	10286	0.0	0.35910368	No	
row_57	Osbpl10	na	10458	0.0	0.35468757	No	
row_58	Gm6900	na	10534	0.0	0.3527507	No	
row_59	Enox1	na	10585	0.0	0.35145944	No	
row_60	Nfasc	na	10799	0.0	0.3459587	No	
row_61	Cyp2f2	na	10820	0.0	0.3454422	No	
row_62	Fabp3	na	10869	0.0	0.34420258	No	
row_63	Gm21826	na	10963	0.0	0.34180087	No	
row_64	C79798	na	11017	0.0	0.34043214	No	
row_65	A430018G15Rik	na	11183	0.0	0.33617097	No	
row_66	Txndc8	na	11248	0.0	0.33451816	No	
row_67	Gm21960	na	11337	0.0	0.33224556	No	
row_68	1500016L03Rik	na	11619	0.0	0.3249887	No	
row_69	Gm16355	na	11914	0.0	0.31739613	No	
row_70	Clps	na	12214	0.0	0.3096744	No	
row_71	RP24-113D21.1	na	12230	0.0	0.30928704	No	
row_72	Gm16055	na	12356	0.0	0.30605888	No	
row_73	Madcam1	na	12404	0.0	0.30484512	No	
row_74	Gm8882	na	12451	0.0	0.30365717	No	
row_75	Gm8709	na	12894	0.0	0.29224247	No	
row_76	Gm23821	na	13126	0.0	0.28627685	No	
row_77	Gm12420	na	13294	0.0	0.28196406	No	
row_78	Gm24093	na	13440	0.0	0.27821943	No	
row_79	AL844604.1	na	13573	0.0	0.27481052	No	
row_80	Gdf2	na	13656	0.0	0.27269286	No	
row_81	Rdh8	na	13676	0.0	0.27220216	No	
row_82	Gm26763	na	13858	0.0	0.26752782	No	
row_83	Gm24269	na	14282	0.0	0.2566038	No	
row_84	Gm26881	na	14350	0.0	0.2548735	No	
