NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100a4	na	12	3.864941358566284	0.016297722	Yes	
row_1	Hmgn2	na	15	3.740173816680908	0.03231757	Yes	
row_2	Hist1h2ap	na	19	3.5670032501220703	0.04756748	Yes	
row_3	Pdcd1	na	20	3.499480962753296	0.062604725	Yes	
row_4	Tnfsf11	na	22	3.4512336254119873	0.07740882	Yes	
row_5	Gng2	na	29	3.178562879562378	0.09091213	Yes	
row_6	Tox2	na	51	2.8303897380828857	0.10253197	Yes	
row_7	Maf	na	61	2.7253527641296387	0.114010364	Yes	
row_8	Sapcd2	na	65	2.674903392791748	0.12542693	Yes	
row_9	Mcm10	na	66	2.6620240211486816	0.13686562	Yes	
row_10	Wdhd1	na	80	2.5399789810180664	0.14744416	Yes	
row_11	Mki67	na	88	2.4535975456237793	0.15780649	Yes	
row_12	Cst7	na	91	2.43031644821167	0.16819789	Yes	
row_13	Pbk	na	96	2.3750925064086914	0.17830034	Yes	
row_14	Podnl1	na	109	2.257396697998047	0.18769045	Yes	
row_15	Cd44	na	130	2.121135711669922	0.19628845	Yes	
row_16	Myadm	na	136	2.0926480293273926	0.20515142	Yes	
row_17	Dtl	na	138	2.0807528495788574	0.21406658	Yes	
row_18	Gm21972	na	141	2.0707998275756836	0.22291313	Yes	
row_19	Dck	na	147	2.049117088317871	0.23158905	Yes	
row_20	Rnf43	na	161	2.01004695892334	0.23989047	Yes	
row_21	Ptprs	na	166	1.9846152067184448	0.24831505	Yes	
row_22	Ran	na	175	1.9486010074615479	0.2564816	Yes	
row_23	Dap	na	177	1.9381232261657715	0.26478386	Yes	
row_24	Syngr2	na	192	1.8881248235702515	0.27253556	Yes	
row_25	Agpat4	na	212	1.8156644105911255	0.2798468	Yes	
row_26	Coro2b	na	220	1.8060399293899536	0.28742653	Yes	
row_27	Akip1	na	234	1.7697784900665283	0.29469553	Yes	
row_28	Mrpl51	na	240	1.752781629562378	0.3020981	Yes	
row_29	Nop9	na	248	1.7397289276123047	0.30939293	Yes	
row_30	Cd82	na	255	1.7178386449813843	0.31661952	Yes	
row_31	Hivep3_1	na	264	1.6906402111053467	0.3236776	Yes	
row_32	Eea1	na	266	1.6890347003936768	0.33090952	Yes	
row_33	Med30	na	279	1.6507452726364136	0.33769286	Yes	
row_34	Mrps7	na	281	1.643709659576416	0.34473005	Yes	
row_35	Cenpm	na	285	1.6314575672149658	0.35166293	Yes	
row_36	Tuba1c	na	310	1.585713505744934	0.35785693	Yes	
row_37	Rpia	na	313	1.578862190246582	0.36458963	Yes	
row_38	Hif1a	na	316	1.5731133222579956	0.37129766	Yes	
row_39	1700017B05Rik	na	321	1.5618693828582764	0.3779057	Yes	
row_40	Cited2	na	324	1.5525574684143066	0.38452536	Yes	
