NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ttc39c	na	0	4.919255256652832	0.0099997055	Yes	
row_1	Spag5	na	1	4.905599594116211	0.019971652	Yes	
row_2	Prc1	na	2	4.892444610595703	0.029916856	Yes	
row_3	Rad51ap1	na	3	4.8769121170043945	0.03983049	Yes	
row_4	Ccr4	na	4	4.845305442810059	0.04967987	Yes	
row_5	Cit	na	5	4.81963586807251	0.059477076	Yes	
row_6	Cdca3	na	8	4.753107070922852	0.069087386	Yes	
row_7	Ccr2	na	11	4.703549385070801	0.078596964	Yes	
row_8	Stmn1	na	15	4.636887550354004	0.08794521	Yes	
row_9	Kif15	na	19	4.5651140213012695	0.09714755	Yes	
row_10	Il1r2	na	29	4.332193851470947	0.105721466	Yes	
row_11	Cxcr3	na	33	4.2175517082214355	0.114217296	Yes	
row_12	Tpx2	na	35	4.210837364196777	0.122751124	Yes	
row_13	H1f0	na	36	4.210799694061279	0.1313107	Yes	
row_14	Lgals3	na	38	4.185422420501709	0.13979287	Yes	
row_15	Tpi1	na	41	4.155713081359863	0.14818883	Yes	
row_16	Cdca2	na	42	4.1271185874938965	0.1565783	Yes	
row_17	Cd74	na	43	4.071937084197998	0.1648556	Yes	
row_18	Asf1b	na	46	4.034857273101807	0.17300588	Yes	
row_19	Hmgb2	na	48	4.022916793823242	0.18115771	Yes	
row_20	E2f8	na	49	4.019653797149658	0.18932873	Yes	
row_21	Foxm1	na	56	3.9187514781951904	0.1971397	Yes	
row_22	S100a11	na	57	3.871083974838257	0.20500872	Yes	
row_23	Nav2	na	58	3.8542776107788086	0.21284357	Yes	
row_24	Glrx	na	60	3.823965072631836	0.22059098	Yes	
row_25	Orc6	na	63	3.7415666580200195	0.22814506	Yes	
row_26	Smco4	na	68	3.697042942047119	0.23555699	Yes	
row_27	Fbxo5	na	69	3.6919381618499756	0.24306184	Yes	
row_28	Ncapd2	na	71	3.608250141143799	0.25037077	Yes	
row_29	Nusap1	na	73	3.5987730026245117	0.2576604	Yes	
row_30	Ndc80	na	74	3.597966194152832	0.26497424	Yes	
row_31	Lig1	na	80	3.4989383220672607	0.27195764	Yes	
row_32	Birc5	na	82	3.4778389930725098	0.27900144	Yes	
row_33	Depdc1a	na	83	3.468397378921509	0.2860519	Yes	
row_34	Knstrn	na	84	3.4203383922576904	0.29300466	Yes	
row_35	Chst2	na	85	3.418431282043457	0.29995352	Yes	
row_36	Lgals1	na	86	3.360748529434204	0.30678517	Yes	
row_37	Sdf2l1	na	87	3.351130723953247	0.31359723	Yes	
row_38	Mad2l1	na	89	3.3459885120391846	0.32037303	Yes	
row_39	Cks2	na	90	3.344604015350342	0.32717183	Yes	
row_40	Ckap2	na	92	3.3173556327819824	0.33388942	Yes	
row_41	Rrm2	na	93	3.2989625930786133	0.34059545	Yes	
row_42	Ckap2l	na	97	3.2842276096343994	0.34719405	Yes	
row_43	Cks1b	na	98	3.258732318878174	0.3538183	Yes	
row_44	Spc24	na	100	3.249469518661499	0.36039788	Yes	
row_45	Cdca8	na	101	3.246307849884033	0.36699688	Yes	
row_46	Mcm6	na	102	3.222136974334717	0.37354672	Yes	
row_47	Odc1	na	104	3.1990559101104736	0.38002384	Yes	
row_48	Tacc3	na	106	3.1929142475128174	0.38648847	Yes	
row_49	Mis18bp1	na	107	3.18634033203125	0.39296556	Yes	
row_50	Marcksl1	na	108	3.1771326065063477	0.39942393	Yes	
row_51	Ube2c	na	109	3.1721231937408447	0.40587214	Yes	
row_52	Aurka	na	110	3.1579039096832275	0.4122914	Yes	
row_53	Anxa2	na	111	3.1512842178344727	0.41869724	Yes	
row_54	Stx11	na	113	3.1452434062957764	0.42506498	Yes	
row_55	Ncapg2	na	116	3.1118953227996826	0.4313391	Yes	
row_56	Ccna2	na	119	3.0934512615203857	0.4375757	Yes	
row_57	Ccnb2	na	120	3.0768465995788574	0.44383022	Yes	
row_58	Top2a	na	122	3.0375988483428955	0.44997913	Yes	
row_59	Fut7	na	123	3.0286359786987305	0.45613563	Yes	
row_60	Mxd3	na	130	2.985229969024658	0.46204898	Yes	
row_61	Hirip3	na	132	2.954601526260376	0.46802917	Yes	
row_62	Cdkn2c	na	133	2.950000762939453	0.47402582	Yes	
row_63	H2afx	na	134	2.94520902633667	0.48001274	Yes	
row_64	Rrm1	na	136	2.904116153717041	0.48589033	Yes	
row_65	Kif23	na	145	2.8365306854248047	0.49144974	Yes	
row_66	Ryk	na	146	2.832960367202759	0.49720848	Yes	
row_67	Fbxw8	na	147	2.806145668029785	0.5029127	Yes	
row_68	Ccnf	na	152	2.7837307453155518	0.5084681	Yes	
row_69	Mcm5	na	155	2.7681617736816406	0.5140435	Yes	
row_70	Adap1	na	156	2.7629435062408447	0.51965994	Yes	
row_71	Cdk1	na	158	2.729862928390503	0.52518326	Yes	
row_72	Frmd4b	na	160	2.719230890274048	0.530685	Yes	
row_73	Tmem2	na	161	2.7029318809509277	0.5361794	Yes	
row_74	Dbf4	na	162	2.6799943447113037	0.5416272	Yes	
row_75	Cdc20	na	163	2.6712794303894043	0.54705733	Yes	
row_76	Fabp5	na	164	2.6692378520965576	0.55248326	Yes	
row_77	Cep55	na	165	2.631474733352661	0.5578325	Yes	
row_78	Hmgb3	na	167	2.6276068687438965	0.56314796	Yes	
row_79	Arhgap11a	na	168	2.626131296157837	0.5684863	Yes	
row_80	Ctsz	na	173	2.606074094772339	0.5736805	Yes	
row_81	Clspn	na	175	2.5796782970428467	0.57889855	Yes	
row_82	Ahr	na	176	2.5790061950683594	0.5841411	Yes	
row_83	Dctpp1	na	178	2.562469244003296	0.5893242	Yes	
row_84	Kpna2	na	179	2.5492165088653564	0.59450614	Yes	
row_85	Cdk6	na	180	2.5433881282806396	0.59967625	Yes	
row_86	Tcf19	na	182	2.531099319458008	0.6047956	Yes	
row_87	Lmnb1	na	184	2.515033483505249	0.60988224	Yes	
row_88	Mcm3	na	190	2.488999128341675	0.6148127	Yes	
row_89	Atad2	na	198	2.4245975017547607	0.61956054	Yes	
row_90	Twsg1	na	200	2.421537160873413	0.6244571	Yes	
row_91	Rora	na	201	2.4208950996398926	0.62937826	Yes	
