NAME	TITLE	SCORE	
Ttc39c	na	4.9192553	
Spag5	na	4.9055996	
Prc1	na	4.8924446	
Rad51ap1	na	4.876912	
Ccr4	na	4.8453054	
Cit	na	4.819636	
Tbc1d31	na	4.766475	
Ercc6l	na	4.7628303	
Cdca3	na	4.753107	
Neurl1b	na	4.735375	
Fam64a	na	4.7319274	
Ccr2	na	4.7035494	
4930427A07Rik	na	4.697308	
Enkd1	na	4.6846485	
D430019H16Rik	na	4.649766	
Stmn1	na	4.6368876	
Hist1h2ap	na	4.6190143	
Cd22	na	4.6047325	
Rbm41	na	4.580373	
Kif15	na	4.565114	
Sgol1	na	4.483512	
Maf	na	4.4688883	
4930579G24Rik	na	4.4521127	
2700099C18Rik	na	4.4485903	
S100a6	na	4.4324927	
Ttyh2	na	4.42905	
Ska1	na	4.3924785	
Shcbp1	na	4.389559	
S100a4	na	4.3804646	
Il1r2	na	4.332194	
Pgam1	na	4.3006887	
3110082I17Rik	na	4.251778	
Slfn9	na	4.234733	
Cxcr3	na	4.2175517	
Rabl2	na	4.2116466	
Tpx2	na	4.2108374	
H1f0	na	4.2107997	
Sapcd2	na	4.189417	
Lgals3	na	4.1854224	
Tmem86a	na	4.173007	
C2cd4b	na	4.1586742	
Tpi1	na	4.155713	
Cdca2	na	4.1271186	
Cd74	na	4.071937	
Tubb6	na	4.0622067	
Ebi3	na	4.0400653	
Asf1b	na	4.0348573	
H2-DMb1	na	4.0286255	
Hmgb2	na	4.022917	
E2f8	na	4.019654	
Icos	na	3.9980702	
Gga2	na	3.9833364	
Gm14005	na	3.9821486	
Tuba1c	na	3.9645805	
Serpinf1	na	3.9442568	
Nxt2	na	3.942545	
Foxm1	na	3.9187515	
S100a11	na	3.871084	
Nav2	na	3.8542776	
BC030867	na	3.8274944	
Glrx	na	3.823965	
Il1r1	na	3.7742777	
Catsper2	na	3.7683208	
Orc6	na	3.7415667	
Pask	na	3.727213	
Gm10364	na	3.7185388	
Bcap29	na	3.7142684	
Tuba1b	na	3.7086868	
Smco4	na	3.697043	
Fbxo5	na	3.6919382	
Zfp839	na	3.6257105	
Ncapd2	na	3.6082501	
Vsig10	na	3.6019194	
Nusap1	na	3.598773	
Ndc80	na	3.5979662	
Plin2	na	3.595497	
Coro2b	na	3.553951	
E2f1	na	3.5429995	
Mki67	na	3.5320451	
2900026A02Rik	na	3.5178964	
Lig1	na	3.4989383	
Cst7	na	3.4971745	
Birc5	na	3.477839	
Depdc1a	na	3.4683974	
Knstrn	na	3.4203384	
Chst2	na	3.4184313	
Lgals1	na	3.3607485	
Sdf2l1	na	3.3511307	
Plekha8	na	3.3501222	
Mad2l1	na	3.3459885	
Cks2	na	3.344604	
Arhgap19	na	3.3304777	
Ckap2	na	3.3173556	
Rrm2	na	3.2989626	
Cenpn	na	3.2965102	
1110065P20Rik	na	3.2937992	
Cxcr5	na	3.2867389	
Ckap2l	na	3.2842276	
Cks1b	na	3.2587323	
Myo1e	na	3.250927	
Spc24	na	3.2494695	
Cdca8	na	3.2463078	
Mcm6	na	3.222137	
Ptges3l	na	3.2027528	
Odc1	na	3.199056	
Tnfrsf1b	na	3.1929364	
Tacc3	na	3.1929142	
Mis18bp1	na	3.1863403	
Marcksl1	na	3.1771326	
Ube2c	na	3.1721232	
Aurka	na	3.157904	
Anxa2	na	3.1512842	
Pif1	na	3.1465397	
Stx11	na	3.1452434	
2010107G23Rik	na	3.136357	
Npdc1	na	3.116914	
Ncapg2	na	3.1118953	
Grhl1	na	3.105896	
Pcna	na	3.094094	
Ccna2	na	3.0934513	
Ccnb2	na	3.0768466	
Ticam1	na	3.0427852	
Top2a	na	3.0375988	
Fut7	na	3.028636	
Faim3	na	3.0171032	
Atad5	na	3.0057886	
1110019D14Rik	na	2.9909716	
Tmem109	na	2.989965	
Gm5601	na	2.9884214	
Npnt	na	2.986108	
Mxd3	na	2.98523	
Dera	na	2.984321	
Hirip3	na	2.9546015	
Cdkn2c	na	2.9500008	
H2afx	na	2.945209	
Xrcc6bp1	na	2.9357207	
Rrm1	na	2.9041162	
Kif14	na	2.9013138	
Bysl	na	2.8919592	
Pigf	na	2.890092	
Spc25	na	2.8771172	
Mreg	na	2.8702142	
Tagln2	na	2.8644714	
Loh12cr1	na	2.8492818	
Pou2af1	na	2.8457644	
Kif23	na	2.8365307	
Ryk	na	2.8329604	
Fbxw8	na	2.8061457	
Nsun7	na	2.8040662	
Cdc6	na	2.802936	
Dut	na	2.794959	
Gadl1	na	2.790815	
Ccnf	na	2.7837307	
Ube2n	na	2.7720816	
2610318N02Rik	na	2.7718134	
Mcm5	na	2.7681618	
Adap1	na	2.7629435	
Itfg3	na	2.7570794	
Cdk1	na	2.729863	
Il9r	na	2.7253697	
Frmd4b	na	2.719231	
Tmem2	na	2.702932	
Dbf4	na	2.6799943	
Cdc20	na	2.6712794	
Fabp5	na	2.6692379	
Cep55	na	2.6314747	
Ran	na	2.628884	
Hmgb3	na	2.6276069	
Arhgap11a	na	2.6261313	
St6galnac4	na	2.6254706	
Txnrd1	na	2.6238027	
Mpp2	na	2.6125855	
Gpr155	na	2.61027	
Ctsz	na	2.606074	
Ube2v1	na	2.5984836	
Clspn	na	2.5796783	
Ahr	na	2.5790062	
Nup37	na	2.573319	
Dctpp1	na	2.5624692	
Kpna2	na	2.5492165	
Cdk6	na	2.5433881	
Tubb5	na	2.539138	
Tcf19	na	2.5310993	
Cyp2s1	na	2.520618	
Lmnb1	na	2.5150335	
Hist1h4c	na	2.5100107	
E130308A19Rik	na	2.509712	
Ttll5	na	2.5093596	
E2f2	na	2.5075881	
Rasgef1a	na	2.496041	
Mcm3	na	2.4889991	
Timp2	na	2.4879293	
Dis3l2	na	2.4661858	
Anln	na	2.4463873	
Eea1	na	2.4413593	
1810009A15Rik	na	2.4382172	
9330160F10Rik	na	2.437776	
Ank3	na	2.4373574	
Atad2	na	2.4245975	
Rbmxl1	na	2.4215636	
