NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Anxa2	na	35	2.988485813140869	0.08178487	Yes	
row_1	Slamf7	na	50	2.846379518508911	0.1601801	Yes	
row_2	Slc43a1	na	292	1.6159900426864624	0.19866927	Yes	
row_3	Zfp280b	na	723	1.1254286766052246	0.21870409	Yes	
row_4	Mast2	na	971	1.0091300010681152	0.24024701	Yes	
row_5	Egr2	na	1067	0.9729441404342651	0.26471412	Yes	
row_6	1110058L19Rik	na	1135	0.9432002902030945	0.28908136	Yes	
row_7	BC051537	na	1158	0.932676374912262	0.31431952	Yes	
row_8	Pold3	na	1345	0.8639917969703674	0.33342195	Yes	
row_9	Rorc	na	1354	0.8614740967750549	0.35705158	Yes	
row_10	Vamp5	na	1371	0.855830192565918	0.38031843	Yes	
row_11	Prmt3	na	1694	0.7382450103759766	0.39242932	Yes	
row_12	1110007C09Rik	na	1880	0.6914332509040833	0.406783	Yes	
row_13	Lenep	na	1903	0.6886976957321167	0.42527053	Yes	
row_14	Apex2	na	1916	0.6860347390174866	0.4439426	Yes	
row_15	Defb34	na	3055	0.5299615263938904	0.4292172	Yes	
row_16	Lias	na	3154	0.5230154991149902	0.4411577	Yes	
row_17	Fam173b	na	3906	0.43048328161239624	0.43367413	Yes	
row_18	Rab3gap1	na	4153	0.40465232729911804	0.4385175	Yes	
row_19	Haus2	na	4201	0.3960235118865967	0.44826135	Yes	
row_20	Prune	na	4513	0.34483054280281067	0.4497709	Yes	
row_21	Rap2c	na	4527	0.3432774245738983	0.45893335	Yes	
row_22	Psmb10	na	4531	0.3429144322872162	0.46834403	Yes	
row_23	Flywch2	na	4761	0.33025676012039185	0.471568	Yes	
row_24	Gm10074	na	4803	0.33025676012039185	0.47964707	Yes	
row_25	Hbs1l	na	5145	0.27739185094833374	0.4785159	Yes	
row_26	Atrnl1	na	5308	0.2578968405723572	0.481468	Yes	
row_27	Cmah	na	5331	0.2544788718223572	0.48794106	Yes	
row_28	Bcas2	na	5431	0.2393173724412918	0.49200606	Yes	
row_29	Msl3	na	5959	0.16791807115077972	0.48304236	No	
row_30	Dennd5a	na	6138	0.14493347704410553	0.48245567	No	
row_31	Abhd17b	na	6598	0.08786991238594055	0.47303322	No	
row_32	Kdelr1	na	6618	0.08588917553424835	0.47491902	No	
row_33	Gyg	na	6861	0.05591414123773575	0.47021645	No	
row_34	Herc3	na	7198	0.011392130516469479	0.46185443	No	
row_35	Gm25712	na	7414	0.0	0.45630202	No	
row_36	Gm23153	na	7606	0.0	0.45136943	No	
row_37	Gm25383	na	7644	0.0	0.45041388	No	
row_38	Gm25465	na	7839	0.0	0.4454038	No	
row_39	Gm25525	na	8177	0.0	0.43670076	No	
row_40	Zfp13	na	8202	0.0	0.43608096	No	
row_41	Gm25598	na	8233	0.0	0.4353062	No	
row_42	Glra4	na	8362	0.0	0.43200058	No	
row_43	RP23-29K3.1	na	8970	0.0	0.41632473	No	
row_44	Gm13825	na	9160	0.0	0.4114438	No	
row_45	Gm25889	na	9324	0.0	0.4072343	No	
row_46	Gm25839	na	9360	0.0	0.40633044	No	
row_47	Mir5134	na	9592	0.0	0.40036482	No	
row_48	Gm13919	na	9740	0.0	0.39656854	No	
row_49	Gm25950	na	9892	0.0	0.39266893	No	
row_50	Krtap4-16	na	10048	0.0	0.38866606	No	
row_51	Gm15371	na	10220	0.0	0.38424996	No	
row_52	Bmpr1b	na	10483	0.0	0.3774838	No	
row_53	Ripply1	na	10511	0.0	0.3767865	No	
row_54	Gm18489	na	10573	0.0	0.37521118	No	
row_55	Cyp2a5	na	10937	0.0	0.36583665	No	
row_56	Cp	na	11033	0.0	0.36338326	No	
row_57	Dcx	na	11271	0.0	0.3572627	No	
row_58	Htr2b	na	11431	0.0	0.3531565	No	
row_59	Gm18360	na	11456	0.0	0.3525367	No	
row_60	Gm16225	na	11671	0.0	0.34701014	No	
row_61	Nkd1	na	11816	0.0	0.34329134	No	
row_62	Gm6345	na	12106	0.0	0.33582786	No	
row_63	Gm16047	na	12320	0.0	0.33032712	No	
row_64	mmu-mir-6377	na	12479	0.0	0.32624677	No	
