NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Baiap3	na	1	4.775876998901367	0.030861309	Yes	
row_1	Grhl1	na	55	2.7817223072052	0.047482874	Yes	
row_2	Sccpdh	na	87	2.4546046257019043	0.06255701	Yes	
row_3	Rfk	na	89	2.4463300704956055	0.07835239	Yes	
row_4	Pgap3	na	101	2.3316729068756104	0.09314799	Yes	
row_5	Tagln2	na	164	1.9943571090698242	0.10444499	Yes	
row_6	Snx5	na	199	1.8628098964691162	0.115614325	Yes	
row_7	Psmg2	na	222	1.8034874200820923	0.12670991	Yes	
row_8	Plbd2	na	238	1.7593183517456055	0.13770062	Yes	
row_9	Tmem138	na	245	1.7406909465789795	0.14880326	Yes	
row_10	Ndufa9	na	250	1.7346534729003906	0.15991853	Yes	
row_11	Neurl1b	na	257	1.7113679647445679	0.17083155	Yes	
row_12	Kpna3	na	260	1.7051646709442139	0.18180774	Yes	
row_13	AW112010	na	278	1.651731014251709	0.192051	Yes	
row_14	Tnfrsf4	na	293	1.6158623695373535	0.20213975	Yes	
row_15	Med24	na	301	1.5968865156173706	0.21228655	Yes	
row_16	S100a10	na	302	1.5961006879806519	0.22260904	Yes	
row_17	Itm2c	na	332	1.5366469621658325	0.23179811	Yes	
row_18	Mapre3	na	333	1.5352660417556763	0.24172717	Yes	
row_19	Pex16	na	365	1.4901249408721924	0.2505637	Yes	
row_20	Mdh1	na	370	1.477911114692688	0.26001853	Yes	
row_21	Vdac1	na	386	1.4544200897216797	0.26903737	Yes	
row_22	Ocel1	na	409	1.4116640090942383	0.2775989	Yes	
row_23	Cstb	na	441	1.3747742176055908	0.2856894	Yes	
row_24	Rab8b	na	448	1.3680695295333862	0.2943822	Yes	
row_25	Pygb	na	455	1.3599328994750977	0.30302238	Yes	
row_26	Ppp2cb	na	463	1.352949857711792	0.3115916	Yes	
row_27	Nucks1	na	469	1.3480442762374878	0.32018068	Yes	
row_28	Nhp2l1	na	474	1.3381160497665405	0.32873142	Yes	
row_29	Ptpn11	na	500	1.3109493255615234	0.33656412	Yes	
row_30	Aagab	na	523	1.2834396362304688	0.3442964	Yes	
row_31	Pqlc3	na	544	1.2594679594039917	0.35192528	Yes	
row_32	Ggnbp1	na	575	1.2395554780960083	0.35916713	Yes	
row_33	Hmgcr	na	627	1.1929012537002563	0.3655649	Yes	
row_34	Dcxr	na	628	1.1917994022369385	0.37327266	Yes	
row_35	Slc39a6	na	649	1.1775097846984863	0.3803715	Yes	
row_36	Smap1	na	652	1.1759499311447144	0.3879251	Yes	
row_37	Gm2a	na	660	1.1705313920974731	0.3953145	Yes	
row_38	Capg	na	664	1.1690670251846313	0.4027978	Yes	
row_39	Snx2	na	670	1.1632170677185059	0.41019157	Yes	
row_40	Arl6ip1	na	681	1.153533697128296	0.41739357	Yes	
row_41	Tmem242	na	699	1.1417690515518188	0.42433873	Yes	
row_42	Sh3bgrl	na	702	1.1380846500396729	0.43164745	Yes	
row_43	Kif4	na	703	1.1378346681594849	0.43900618	Yes	
row_44	Txndc17	na	718	1.1289931535720825	0.44594622	Yes	
row_45	Ndfip1	na	762	1.1066100597381592	0.45199254	Yes	
row_46	1110001A16Rik	na	767	1.1013154983520508	0.4590118	Yes	
row_47	Pcgf2	na	770	1.1008609533309937	0.46607977	Yes	
row_48	Crlf2	na	780	1.0943890810012817	0.4729251	Yes	
row_49	Isoc2a	na	787	1.089894413948059	0.47981885	Yes	
row_50	Cep152	na	872	1.0544356107711792	0.4844689	Yes	
row_51	Ikzf3	na	894	1.0440175533294678	0.49067858	Yes	
row_52	Calm2	na	947	1.0180187225341797	0.49591953	Yes	
row_53	Trpv2	na	993	0.9987401366233826	0.5012166	Yes	
row_54	Brca1	na	1008	0.9926724433898926	0.507275	Yes	
row_55	Cops6	na	1032	0.9845715761184692	0.5130485	Yes	
row_56	Map3k5	na	1040	0.9814469814300537	0.5192151	Yes	
row_57	Slc38a1	na	1046	0.977694571018219	0.52540904	Yes	
row_58	Tiam1	na	1070	0.9719690084457397	0.5311011	Yes	
row_59	Eif4e2	na	1098	0.9591786861419678	0.53660715	Yes	
row_60	Hsd17b12	na	1120	0.9475852251052856	0.5421931	Yes	
row_61	Uchl5	na	1131	0.9438501596450806	0.5480391	Yes	
row_62	Caprin1	na	1132	0.9437752366065979	0.5541428	Yes	
row_63	C1qbp	na	1180	0.9250080585479736	0.5589113	Yes	
row_64	Ptpn5	na	1213	0.9120180606842041	0.5639832	Yes	
row_65	Mrps23	na	1233	0.9052231311798096	0.5693469	Yes	
row_66	Snrpa	na	1280	0.8873642683029175	0.57389784	Yes	
row_67	Wdr1	na	1326	0.8709742426872253	0.57836854	Yes	
row_68	Abcc4	na	1356	0.8594467639923096	0.583178	Yes	
row_69	Palb2	na	1381	0.849361777305603	0.58805126	Yes	
row_70	Kdm1b	na	1403	0.8440253138542175	0.5929675	Yes	
row_71	BC056474	na	1413	0.8398945331573486	0.59816694	Yes	
row_72	Ube2m	na	1426	0.8340625166893005	0.6032512	Yes	
row_73	Mkrn2	na	1432	0.8321143388748169	0.60850364	Yes	
row_74	Tnfrsf18	na	1473	0.8149079084396362	0.6127409	Yes	
row_75	Adam19	na	1527	0.8009259104728699	0.616552	Yes	
row_76	Ndufa12	na	1541	0.7952404022216797	0.62135935	Yes	
row_77	Tars	na	1597	0.7729442119598389	0.62493783	Yes	
row_78	Slc15a3	na	1610	0.7698917388916016	0.6296071	Yes	
row_79	Ndufa11	na	1627	0.765542209148407	0.6341449	Yes	
row_80	Eif4h	na	1628	0.7651064991950989	0.6390931	Yes	
row_81	Lamtor4	na	1675	0.7436988949775696	0.64271486	Yes	
row_82	Nbas	na	1727	0.7287850975990295	0.6461111	Yes	
row_83	Sub1	na	1737	0.725508987903595	0.65057075	Yes	
row_84	Naa40	na	1845	0.6980002522468567	0.65232164	Yes	
row_85	Esco2	na	1863	0.6956326365470886	0.6563815	Yes	
row_86	Ints6	na	1881	0.6908287405967712	0.6604103	Yes	
row_87	Ctsb	na	1889	0.6897410750389099	0.6646903	Yes	
row_88	Ttf2	na	1910	0.686905562877655	0.66861624	Yes	
row_89	Rtca	na	1921	0.6855031847953796	0.67279136	Yes	
row_90	Txndc12	na	1955	0.6765868663787842	0.67631483	Yes	
row_91	Hrsp12	na	1975	0.6726563572883606	0.6801744	Yes	
row_92	Nop16	na	1983	0.6720403432846069	0.68433994	Yes	
row_93	Cox6b1	na	2033	0.6659758687019348	0.6873816	Yes	
row_94	Ralb	na	2050	0.6612679958343506	0.691245	Yes	
row_95	Polr2m	na	2058	0.6593502759933472	0.6953285	Yes	
row_96	Lsm10	na	2065	0.6572018265724182	0.6994239	Yes	
row_97	Aldh7a1	na	2091	0.6504685282707214	0.70298505	Yes	
row_98	Pdgfb	na	2097	0.6492182612419128	0.7070546	Yes	
row_99	Pef1	na	2105	0.6473416686058044	0.7110604	Yes	
row_100	Timm17b	na	2111	0.6461187601089478	0.71510994	Yes	
row_101	3830406C13Rik	na	2126	0.6435259580612183	0.7189103	Yes	
row_102	Canx	na	2175	0.6319552659988403	0.7217577	Yes	
row_103	Dus2l	na	2176	0.6317036747932434	0.7258432	Yes	
row_104	Tcea1	na	2245	0.6180518269538879	0.7280842	Yes	
row_105	Pigk	na	2258	0.614635705947876	0.73174936	Yes	
row_106	Stard10	na	2282	0.6096348762512207	0.73509806	Yes	
row_107	E2f7	na	2302	0.6058323979377747	0.7385255	Yes	
row_108	Snrpd1	na	2303	0.6056872606277466	0.74244267	Yes	
row_109	Nelfe	na	2354	0.5960071086883545	0.745006	Yes	
row_110	Rad23a	na	2355	0.5959470272064209	0.7488602	Yes	
row_111	Pold1	na	2359	0.5947199463844299	0.7526289	Yes	
row_112	Cops2	na	2386	0.5867542624473572	0.7557522	Yes	
row_113	Klhdc10	na	2387	0.586540937423706	0.75954556	Yes	
row_114	Pdlim7	na	2437	0.5744796991348267	0.7619955	Yes	
row_115	Pmpcb	na	2567	0.5617212653160095	0.76229686	Yes	
row_116	0610010K14Rik	na	2654	0.5559670925140381	0.7636715	Yes	
row_117	Ciao1	na	2691	0.5532877445220947	0.7663201	Yes	
row_118	Pola2	na	2749	0.5503817796707153	0.7684076	Yes	
row_119	Dbi	na	2761	0.5492969751358032	0.771676	Yes	
row_120	Sae1	na	2777	0.5490568280220032	0.7748395	Yes	
