NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TFR 500	TFR 500	Details ...	200	0.8080457	1.3348202	0.0	0.048421044	0.0	5961	tags=84%, list=15%, signal=99%	
TFR 900	TFR 900	Details ...	200	0.8388551	1.2980264	0.0	0.048421044	0.046	4507	tags=79%, list=12%, signal=89%	
TFR 300	TFR 300	Details ...	200	0.87276524	1.2477534	0.0	0.04842103	0.046	4505	tags=93%, list=12%, signal=105%	
TFR 700	TFR 700	Details ...	200	0.9037704	1.235166	0.0	0.048421044	0.046	2576	tags=90%, list=7%, signal=95%	
TFR 200	TFR 200	Details ...	200	0.9245539	1.1964935	0.0	0.10193135	0.241	2423	tags=94%, list=6%, signal=100%	
RANDOM10	RANDOM10	Details ...	200	0.49200606	1.184975	0.0	0.10212214	0.241	5431	tags=15%, list=14%, signal=17%	
RANDOM9	RANDOM9	Details ...	200	0.5264158	1.1822333	0.10683761	0.101564504	0.282	5393	tags=18%, list=14%, signal=20%	
RANDOM4	RANDOM4	Details ...	200	0.51865584	1.1762384	0.1194332	0.10369339	0.322	3069	tags=14%, list=8%, signal=15%	
RANDOM1	RANDOM1	Details ...	200	0.4649978	1.1461345	0.08982036	0.1441308	0.423	5831	tags=18%, list=15%, signal=20%	
RANDOM6	RANDOM6	Details ...	200	0.46618062	1.0779904	0.3011811	0.2690335	0.566	6278	tags=19%, list=16%, signal=22%	
RANDOM5	RANDOM5	Details ...	200	0.43511823	1.0608151	0.27142859	0.30712828	0.684	6008	tags=14%, list=15%, signal=16%	
RANDOM7	RANDOM7	Details ...	200	0.45463243	1.0449173	0.37704918	0.31765282	0.738	5489	tags=18%, list=14%, signal=20%	
RANDOM8	RANDOM8	Details ...	200	0.4057235	0.9663177	0.5188867	0.61903894	0.95	6225	tags=14%, list=16%, signal=16%	
RANDOM3	RANDOM3	Details ...	200	0.41944477	0.9070336	0.8133047	0.8443682	0.95	5900	tags=17%, list=15%, signal=20%	
RANDOM2	RANDOM2	Details ...	200	0.3674157	0.90059304	0.68907565	0.79598415	0.95	6007	tags=14%, list=15%, signal=16%	
