NAME	TITLE	SCORE	
Ckap2	na	4.776796	
Baiap3	na	4.775877	
Cc2d2a	na	4.6956973	
Wdr35	na	4.5321417	
Cpq	na	4.4601793	
2010107G23Rik	na	4.4510922	
Tshz2	na	4.438642	
Coq7	na	4.3203444	
Cmss1	na	4.2024693	
Tmem237	na	4.1877017	
Nfxl1	na	4.155823	
Kctd17	na	3.9788291	
S100a4	na	3.8649414	
Cenpw	na	3.8610363	
Car5b	na	3.7977839	
Hmgn2	na	3.7401738	
S100a11	na	3.7084897	
Tmem136	na	3.5997427	
Spock2	na	3.586111	
Hist1h2ap	na	3.5670033	
Pdcd1	na	3.499481	
Slc25a13	na	3.4538984	
Tnfsf11	na	3.4512336	
Gfod2	na	3.3707993	
Alox8	na	3.3677454	
8030462N17Rik	na	3.359607	
Cdca8	na	3.3405743	
Il1r2	na	3.2244132	
Hagh	na	3.1888154	
Gng2	na	3.1785629	
Gm12233	na	3.1525502	
Ncaph	na	3.1364963	
Tubb6	na	3.083099	
Matn2	na	3.0821986	
Icos	na	3.072729	
Anxa2	na	2.9884858	
Lrrc16a	na	2.9875262	
Traip	na	2.9729488	
Cenpe	na	2.9344	
Cass4	na	2.9270988	
S100a6	na	2.920814	
2310047M10Rik	na	2.916963	
Cox16	na	2.9092333	
Adam6b	na	2.9052434	
2210404O07Rik	na	2.8990386	
Igkc	na	2.8801866	
Il13ra1	na	2.8719907	
Myo1f	na	2.867371	
Uhrf1	na	2.866324	
Glrx	na	2.8588846	
Slamf7	na	2.8463795	
Tox2	na	2.8303897	
Ttk	na	2.8268714	
Aspm	na	2.8012521	
Hmgb2	na	2.7963753	
Grhl1	na	2.7817223	
Lrp3	na	2.7604017	
Ptprj	na	2.7359061	
Btbd19	na	2.733377	
Xrcc6bp1	na	2.7270765	
Gm5601	na	2.7268908	
Maf	na	2.7253528	
Cebpb	na	2.7078323	
Cks1b	na	2.707371	
Dnase2a	na	2.697869	
Sapcd2	na	2.6749034	
Mcm10	na	2.662024	
Slc27a1	na	2.6261885	
Il1rn	na	2.6056838	
Cdca3	na	2.6048274	
Slc39a4	na	2.5972013	
Fbxo4	na	2.586785	
Guf1	na	2.5866644	
Bhlhe40	na	2.5864518	
B230307C23Rik	na	2.5846195	
Plekhg3	na	2.5598736	
Cep170b	na	2.557032	
Birc5	na	2.5508027	
Stmn1	na	2.5419676	
Smco4	na	2.5415776	
Wdhd1	na	2.539979	
Doc2a	na	2.5387607	
Ube2c	na	2.5265157	
Slc37a2	na	2.5214205	
Rrm1	na	2.5197053	
Timm21	na	2.506933	
Ccdc173	na	2.473232	
Sccpdh	na	2.4546046	
Mki67	na	2.4535975	
Rfk	na	2.44633	
Top2a	na	2.4442694	
Cst7	na	2.4303164	
Nusap1	na	2.4154735	
Trim37	na	2.390442	
6330403K07Rik	na	2.388192	
Alyref	na	2.38643	
Pbk	na	2.3750925	
H2afx	na	2.3740358	
Sec14l1	na	2.3608487	
Mex3d	na	2.3449879	
Ppip5k2	na	2.3360343	
Pgap3	na	2.331673	
Tmem2	na	2.331477	
Rcc1	na	2.3219879	
2700094K13Rik	na	2.2933285	
Vcam1	na	2.2807536	
Slc45a4	na	2.2790422	
Rnaseh2b	na	2.278194	
Gpr108	na	2.2649093	
Podnl1	na	2.2573967	
Ncapg2	na	2.2405555	
