NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Matn2	na	33	3.0821986198425293	0.021806555	Yes	
row_1	Icos	na	34	3.0727291107177734	0.044395726	Yes	
row_2	2210404O07Rik	na	44	2.899038553237915	0.06547558	Yes	
row_3	Fbxo4	na	71	2.586785078048706	0.08382088	Yes	
row_4	Ccl5	na	206	1.8350682258605957	0.09385082	Yes	
row_5	Mettl7a1	na	207	1.8339043855667114	0.107332766	Yes	
row_6	1110008F13Rik	na	225	1.794845700263977	0.12008855	Yes	
row_7	Dok1	na	284	1.6393954753875732	0.13064271	Yes	
row_8	Spata13	na	299	1.602209210395813	0.1420598	Yes	
row_9	Prkar1a	na	318	1.5669301748275757	0.15311423	Yes	
row_10	Tuba1b	na	335	1.534249186515808	0.16398007	Yes	
row_11	Tox	na	340	1.5226134061813354	0.17507026	Yes	
row_12	Hprt	na	342	1.5211125612258911	0.18622689	Yes	
row_13	Cebpa	na	346	1.5074340105056763	0.19723132	Yes	
row_14	Gmds	na	377	1.4687434434890747	0.20725404	Yes	
row_15	Mogs	na	384	1.4595816135406494	0.2178292	Yes	
row_16	Slc35a2	na	401	1.4336340427398682	0.22795536	Yes	
row_17	Adora2a	na	405	1.4208149909973145	0.238323	Yes	
row_18	Cnih1	na	430	1.383376121520996	0.24787308	Yes	
row_19	Cox7c	na	451	1.3635196685791016	0.25738052	Yes	
row_20	Ptgr2	na	470	1.3472801446914673	0.2668202	Yes	
row_21	Efhd2	na	483	1.3269555568695068	0.27626538	Yes	
row_22	Apool	na	514	1.30056631565094	0.28505176	Yes	
row_23	E2f4	na	515	1.2977508306503296	0.29459217	Yes	
row_24	Tfpi	na	522	1.285030722618103	0.30388412	Yes	
row_25	Agfg1	na	561	1.246051549911499	0.31206313	Yes	
row_26	AI662270	na	569	1.2407643795013428	0.32100382	Yes	
row_27	Slc17a5	na	602	1.2083196640014648	0.32906038	Yes	
row_28	Slc22a15	na	617	1.19697105884552	0.33749837	Yes	
row_29	C2cd2	na	621	1.1961250305175781	0.3462142	Yes	
row_30	BC030867	na	637	1.1866453886032104	0.35455045	Yes	
row_31	Fam129a	na	677	1.157791018486023	0.36205477	Yes	
row_32	Fbxl8	na	719	1.128533959388733	0.36929235	Yes	
