"","Feature.ID","rfTestPred","X1","X2"
"3272","Asf1b","2",0,1
"4669","Ccnb1","2",0,1
"4682","Ccnf","2",0,1
"4833","Cdc20","2",0,1
"4863","Cdca2","2",0,1
"4864","Cdca3","2",0,1
"5734","Crmp1","2",0,1
"8697","Glrx","2",0,1
"22913","H1f0","2",0,1
"24535","Kif11","2",0,1
"24733","Kpna2","2",0,1
"25063","Lig1","2",0,1
"31780","Racgap1","2",0,1
"32990","Rrm1","2",0,1
"36282","Tpx2","2",0,1
"37145","Uhrf1","2",0,1
"3499","Aurkb","2",0.001,0.999
"4869","Cdca8","2",0.001,0.999
"4902","Cdk1","2",0.001,0.999
"5240","Cit","2",0.001,0.999
"5256","Cks2","2",0.001,0.999
"7956","Fbxo5","2",0.001,0.999
"23294","Hmmr","2",0.001,0.999
"25604","Marcks","2",0.001,0.999
"25792","Melk","2",0.001,0.999
"27936","Ncapd2","2",0.001,0.999
"27939","Ncapg2","2",0.001,0.999
"28563","Nusap1","2",0.001,0.999
"29963","Orc6","2",0.001,0.999
"30810","Plk1","2",0.001,0.999
"32991","Rrm2","2",0.001,0.999
"33322","Sdf2l1","2",0.001,0.999
"35447","Tcf19","2",0.001,0.999
"38244","Ybx3","2",0.001,0.999
"2238","Acot7","2",0.002,0.998
"3937","Birc5","2",0.002,0.998
"4943","Cdkn2c","2",0.002,0.998
"5002","Cenpa","2",0.002,0.998
"22865","Gtse1","2",0.002,0.998
"23094","Hells","2",0.002,0.998
"23182","Hist1h2ae","2",0.002,0.998
"23278","Hmgb3","2",0.002,0.998
"24555","Kif23","2",0.002,0.998
"24730","Knstrn","2",0.002,0.998
"25430","Mad2l1","2",0.002,0.998
"27940","Ncaph","2",0.002,0.998
"31190","Prdx4","2",0.002,0.998
"31422","Psat1","2",0.002,0.998
"36943","Tyms","2",0.002,0.998
"37002","Ube2c","2",0.002,0.998
"2376","Adap1","2",0.003,0.997
"3497","Aurka","2",0.003,0.997
"4671","Ccnb2","2",0.003,0.997
"4837","Cdc25b","2",0.003,0.997
"5006","Cenpf","2",0.003,0.997
"5037","Cep55","2",0.003,0.997
"5246","Ckap2","2",0.003,0.997
"5255","Cks1b","2",0.003,0.997
"6268","Dbf4","2",0.003,0.997
"6329","Dctpp1","2",0.003,0.997
"24540","Kif15","2",0.003,0.997
"25687","Mcm3","2",0.003,0.997
"26613","Mis18bp1","2",0.003,0.997
"27617","Myo1f","2",0.003,0.997
"34648","Spc24","2",0.003,0.997
"35740","Tjp2","2",0.003,0.997
"38389","Zdhhc2","2",0.003,0.997
"2923","Anxa2","2",0.004,0.996
"3396","Atp2b4","2",0.004,0.996
"3688","Batf","2",0.004,0.996
"4097","Bub1b","2",0.004,0.996
"4866","Cdca5","2",0.004,0.996
"5205","Chst2","2",0.004,0.996
"5634","Cpd","2",0.004,0.996
"22966","H2afv","2",0.004,0.996
"22967","H2afx","2",0.004,0.996
"25025","Lgals1","2",0.004,0.996
"25690","Mcm5","2",0.004,0.996
"27543","Mxd3","2",0.004,0.996
"27553","Mybl2","2",0.004,0.996
"30880","Pnp","2",0.004,0.996
"31199","Prep","2",0.004,0.996
"31988","Rcc1","2",0.004,0.996
"35036","Stx11","2",0.004,0.996
"4857","Cdc45","2",0.005,0.995
"4925","Cdk6","2",0.005,0.995
"5005","Cenpe","2",0.005,0.995
"5957","Cxcr3","2",0.005,0.995
"7010","E2f8","2",0.005,0.995
"7161","Ehd4","2",0.005,0.995
"8426","Galk1","2",0.005,0.995
"8529","Gcnt1","2",0.005,0.995
"27975","Ndc80","2",0.005,0.995
"30468","Pgam1","2",0.005,0.995
"32075","Rfc5","2",0.005,0.995
