"Feature ID"	"LNTcon1"	"LNTcon2"	"LNTcon3"	"LNTfh1"	"LNTfh2"	"LNTfh3"	"LNTreg1"	"LNTreg2"	"LNTreg3"	"LNTfr1"	"LNTfr2"	"LNTfr3"	"SpleenTcon1"	"SpleenTcon2"	"SpleenTcon3"	"SpleenTfh1"	"SpleenTfh2"	"SpleenTfh3"	"SpleenTreg1"	"SpleenTreg2"	"SpleenTreg3"	"SpleenTfr1"	"SpleenTfr2"	"SpleenTfr3"	"BloodTcon1"	"BloodTcon2"	"BloodTcon3"	"BloodTfh1"	"BloodTfh2"	"BloodTfh3"	"BloodTreg1"	"BloodTreg2"	"BloodTreg3"	"BloodTfr1"	"BloodTfr2"	"BloodTfr3"	"EZH2EXP_F_p_Treg_1"	"EZH2EXP_F_p_Treg_2"	"EZH2EXP_F_p_Treg_3"	"EZH2EXP_F_p_Tfr_1"	"EZH2EXP_F_p_Tfr_2"	"EZH2EXP_F_p_Tfr_3"	"FoxDownFoxP_Tfr_1"	"FoxDownFoxP_Tfr_2"	"FoxDownFoxP_Tfr_3"	"FoxDownFoxMTfr_1"	"FoxDownFoxMTfr_2"	"FoxDownFoxMTfr_3"	"FoxDown_Tfh_1"	"FoxDown_Tfh_2"	"FoxDown_Tfh_3"	"HDM_OVA_Tcon_1"	"HDM_OVA_Tcon_2"	"HDM_OVA_Tfh_1"	"HDM_OVA_Tfh_2"	"HDM_OVA_Tfr_1"	"HDM_OVA_Tfr_2"	"HDM_Tfh_1"	"HDM_Tfh_2"	"HDM_Tfr_1"	"HDM_Tfr_2"	"FoxF_CreN_Tcon_1"	"FoxF_CreN_Tcon_2"	"FoxF_CreN_Tcon_3"	"FoxF_CreN_Tcon_4"	"FoxF_CreN_Treg_1"	"FoxF_CreN_Treg_2"	"FoxF_CreN_Treg_3"	"FoxF_CreN_Treg_4"	"FoxF_CreN_ICOS_1"	"FoxF_CreN_ICOS_2"	"FoxF_CreN_ICOS_3"	"FoxF_CreN_ICOS_4"	"FoxF_CreN_Tfr_1"	"FoxF_CreN_Tfr_2"	"FoxF_CreN_Tfr_3"	"FoxF_CreN_Tfr_4"	"LN_tfr_treg"	"LN_tfr_tfh"	"LN_tfr_tcon"	"SP_tfr_treg"	"SP_tfr_tfh"	"SP_tfr_tcon"	"BL_tfr_treg"	"BL_tfr_tfh"	"BL_tfr_tcon"	"diffexpressed_FC"
"Nav2"	17.45	25.119	2.901	109.822	105.814	103.223	4.641	0.516	0	45.371	55.979	49.51	14.531	9.983	20.703	159.126	65.398	173.498	3.164	0.52	0	74.122	148.187	57.838	3.744	13.462	9.447	117.289	104.493	119.959	0	7.891	0	80.321	80.946	97.12	0	38.4856724535	0	53.3688910308	23.3377477037	53.1709845937	4.3469922649	6.5422387377	3.7263833799	35.6643638225	0	16.2611240872	22.2389860984	18.3345350883	32.3588079099	23.3900005	18.2523024	133.720804	145.437818	45.3619225	56.8562791	123.691994	140.586195	24.5034378	43.1066463	0	5.0199921186	13.2389981168	0	0	10.0955951909	0	0	45.1844655807	49.2752375969	28.6212204088	36.814047122	5.9013326684	9.2596193556	36.5555301591	59.7469715754	"95.9496124031008"	"-2.13722480307009"	"2.83724928366762"	"142.542307692308"	"-2.14681201262783"	"5.100956575597"	"Inf"	"-1.44897833123317"	"8.56843442362655"	"UP"
"Depdc1a"	0	0	0	12.134	12.384	8.448	0.58	0.516	0	29	47.982	50.802	0.177	0	7.827	16.608	14.055	7.224	8.438	0	0	7.876	11.138	14.942	0	1.165	0.09	4.061	0	33.131	14.317	5.073	2.824	1.709	35.004	22.605	1.6010015866	0	0	69.9455920328	6.7891629683	13.2927461484	17.3879690596	44.977891322	1.0646809657	0	0.8678544122	0	2.9768721549	12.9606196314	16.3895260842	0	7.93578364	23.0332485	28.6778795	15.5185524	0	33.5101817	26.2361561	20.2153362	11.1911485	0	0	0	0	0	0	18.6999364202	0	45.8489430157	22.9025752211	19.5351186917	41.9400536833	38.3586623449	16.66731484	66.1847493407	34.4694066781	"92.9883720930233"	"3.9543431679578"	"Inf"	"Inf"	"-1.26189621116897"	"62.9265536723164"	"4.45594322885866"	"5.566362964787"	"251.166666666667"	"UP"
"Bard1"	11.168	0	9.863	30.397	29.571	36.865	10.441	0.516	0.533	76.242	48.427	24.109	1.949	1.792	7.069	20.966	22.66	26.64	0.527	14.573	0	21.31	4.358	13.978	1.248	5.738	3.419	13.138	9.542	21.38	33.406	25.927	4.519	86.303	41.567	0	0	17.8484278045	13.6214543354	13.7465325382	44.9782046653	17.7236615312	29.6618295723	16.3555968444	51.104686353	24.1597303314	2.6035632366	0	9.9812772252	13.9089576532	3.9923204564	9.5021877	17.458724	22.393436	35.4084023	19.0997568	44.1126303	34.0029785	15.840698	12.8643049	75.022144	0.8155835174	5.8566574717	2.2064996861	4.5931924295	10.2924072911	12.114714229	0	1.1504739377	21.9277553554	27.0666798067	42.7046780703	58.2500745601	25.0806638409	51.8538683912	28.859629073	1.1489802226	"90.8574108818011"	"1.59315063986578"	"4.9099665416202"	"26.5237191650854"	"-1.62111890113035"	"7.17188301693176"	"1.60323215181085"	"3.16387578017963"	"12.157648435215"	"UP"
"Gapdh"	16.752	69.446	7.252	220.624	45.577	172.345	37.704	21.136	9.058	210.483	87.079	513.185	8.683	11.263	35.346	67.844	120.183	13.094	15.293	16.135	92.085	164.459	192.74	33.739	10.399	52.682	46.067	2.628	7.214	10.282	8.351	19.164	117.484	25.635	305.189	36.001	161.7011602458	69.7204211113	10.8971634683	40.8352878342	33.9458148417	59.8173576679	61.8807134181	17.9911565288	576.5247429195	79.3819710889	79.8426059238	73.9142003962	201.5517558993	495.3485600594	75.2237222841	7.30937515	66.6605826	55.0238714	91.5936356	37.0057789	38.2309463	68.9915505	17.8207853	166.010791	77.0945789	4.8935011043	25.0999605931	17.651997489	11.4829810738	37.7388267342	151.4339278629	18.6999364202	25.3104266303	34.5528266206	41.6410458565	26.3496949796	36.3480465255	35.4079960107	40.7423251645	24.6268834756	22.9796044521	"9.95850681302044"	"1.22128869418898"	"12.5646489971347"	"10.1926867059188"	"2.42407582100112"	"14.6017046967948"	"1.87857441035274"	"4.99043526476296"	"-1.27960334435155"	"UP"
"Lin9"	0	8.496	0	10.418	9.857	6.912	1.16	4.64	0	6.548	11.551	12.055	0.709	11.775	1.01	5.065	16.636	12.981	0	0.52	20.525	18.531	0	10.122	4.576	9.708	6.118	10.272	10.24	0.163	0	10.146	10.167	0	47.036	24.28	20.2793534302	0	0	15.7680814409	12.7296805656	0	14.5752093588	0	0	0	0	25.1308281347	5.6035240563	12.0122816096	4.6226868443	18.2734379	0	1.27962492	16.9726226	1.1937348	6.86196472	6.89915505	9.90043626	15.3146486	13.2635835	0	15.8966417089	15.4454978029	13.7795772885	1.1436008101	0	15.3999476402	9.2037915019	29.9014845755	18.7384706354	14.5377627473	12.582016105	11.8026653369	53.7057922623	5.002335706	3.4469406678	"9.95775862068966"	"1.17185756315309"	"Inf"	"19.4653846153846"	"-1.28245406046236"	"10.0217821782178"	"2.39306130494776"	"2.37109375"	"3.96861719516182"	"UP"
"Kpna2"	8.376	17.361	51.054	111.293	115.923	94.774	23.203	14.435	21.313	160.902	207.035	309.978	40.048	24.317	8.584	77.266	74.864	134.78	19.512	6.246	31.065	49.569	28.088	162.429	14.005	25.413	38.149	137.832	51.665	91.56	28.037	23.109	45.186	123.046	66.726	69.491	12.2743454972	6.6931604267	0	140.2954938462	199.431662195	81.2334486848	62.1364188455	130.8447747548	78.254050978	47.1689973137	59.0141000306	10.3479880555	123.1024191114	116.4875203458	46.8572348306	11.6950002	4.76147018	85.7348694	100.372578	83.5614362	132.337891	95.6025771	88.6089046	90.050134	252.83706	19.5740044172	20.0799684744	40.8202441933	6.8897886443	4.5744032405	0	16.4999439002	1.1504739377	164.1259264477	53.4393421825	137.6544410139	164.9642111542	38.3586623449	88.8923458134	194.3215024246	47.1081891267	"9.71402430441515"	"1.86026973843818"	"11.9252923218709"	"2.54043665436654"	"-1.55875648086506"	"2.03845046675166"	"2.47854620679816"	"-1.31758069390281"	"2.73446661157675"	"UP"
"Nfxl1"	36.993	5.356	15.954	9.683	10.194	1.229	0	3.093	0.533	7.016	2.666	5.166	8.329	3.328	7.069	15.076	1.004	11.74	0	0	0	4.169	5.811	6.266	4.853	21.358	8.368	2.628	9.076	11.751	0	0	20.899	20.508	0	0	0	3.3465802133	0	1.2129293416	0	14.7697179427	0	19.6267162132	0	0	12.149961771	0	1.9262113943	4.7416901091	0.2101221293	0	1.58715673	0	9.94946841	21.4872264	0	14.2911069	6.93030538	0	4.55935682	2.4467505522	5.0199921186	0	0	16.0104113418	0	19.7999326802	0	0	3.4700871547	14.9920678332	14.4460184909	0	0	7.3111060318	0	"9.69230769230769"	"-1.87437088656601"	"-3.08826945412311"	"Inf"	"-2.02030631560833"	"-1.21648597487524"	"NaN"	"-Inf"	"-Inf"	"UP"
"Hist1h2ak"	0	0.185	0	2.451	2.022	4.915	0.58	6.186	0	5.613	7.553	0	0	0.512	0	0	0.861	3.386	0	0	0	0	8.717	0.482	0	0	0	0	0	0	0	0	0.565	0	0	8.372	0	9.4819772711	0	35.9835704678	7.2134856539	0	10.4839225213	8.1777984222	0.5323404828	0	0	0	5.6035240563	0.7902816848	0.4202442586	0	0	8.95737441	6.1452599	0	1.96056135	4.4351711	0	0	7.04627872	0.8155835174	0	0	0	0	0	0	0	23.2567102254	0	2.7258305151	0.4660005965	0	3.7038477422	0	6.8938813356	"9.67758620689655"	"2.29008567931457"	"Inf"	"Inf"	"-1.78630705394191"	"Inf"	"NaN"	"NaN"	"NaN"	"UP"
"Pnp"	37.691	25.488	54.245	50.498	60.91	77.878	11.021	28.354	10.656	67.822	105.294	121.408	22.328	19.198	26.762	52.885	72.139	43.233	41.134	74.948	1.109	58.835	82.326	77.118	30.089	24.723	17.095	53.031	41.425	23.339	25.651	19.727	32.195	17.09	207.835	33.49	29.8853629497	5.5776336889	25.1996905206	64.2852551053	114.9914477763	60.5558435651	74.1545739308	75.235745484	53.7663887672	58.6736308048	59.0141000306	76.870768412	14.8843607745	63.5386474613	29.8373423585	2.19281255	24.6009293	94.6922438	59.1115476	51.3305965	125.475926	72.441128	44.5519632	159.884932	100.30585	9.7870022086	15.0599763558	16.5487476459	36.745539436	21.7284153924	21.2007499008	21.9999252003	39.1161138831	132.8954870022	104.1026146413	85.4093561407	112.7721443483	29.5066633422	133.3385187202	92.3508130335	32.1714462329	"9.55394247345976"	"1.72868166146774"	"2.79361120691942"	"1.87479943598969"	"1.45822066748605"	"3.45386958079541"	"1.30560212077502"	"-1.23693639892505"	"1.35460906847874"	"UP"
"Hist1h2ab"	0	0	0	5.393	1.348	0.154	0.58	0.516	0	11.693	4.887	0	0	0	0	0	0	2.822	0	0	0	3.243	0	0	0.139	0	0	11.227	0	0	0	0	0	0	0	0	0.5336671955	8.9242139023	1.3621454335	0	1.6972907421	0.7384858971	6.3926356837	0.8177798422	0	0	17.3570882443	0	0	2.5289013915	0.2101221293	0	0	5.11849967	7.31578559	28.6496353	0	12.8127165	0.99004363	15.3146486	9.9476876	8.1558351738	0	0	0	0	0	0	1.1504739377	0	18.0444532045	6.8145762878	16.3100208768	36.8833291778	31.4827058089	0.7695901086	18.3836835617	"9.47093023255814"	"3.62537091988131"	"Inf"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"UP"
