Feature.ID,LNTREGavg,LNTFR_avg,SPTREG_avg,SPTRF_avg,LNTFR_mad,LNFC,SPFC,LNTcon1,LNTcon2,LNTcon3,LNTfh1,LNTfh2,LNTfh3,LNTreg1,LNTreg2,LNTreg3,LNTfr1,LNTfr2,LNTfr3,SpleenTcon1,SpleenTcon2,SpleenTcon3,SpleenTfh1,SpleenTfh2,SpleenTfh3,SpleenTreg1,SpleenTreg2,SpleenTreg3,SpleenTfr1,SpleenTfr2,SpleenTfr3,BloodTcon1,BloodTcon2,BloodTcon3,BloodTfh1,BloodTfh2,BloodTfh3,BloodTreg1,BloodTreg2,BloodTreg3,BloodTfr1,BloodTfr2,BloodTfr3,cat
Rad18,25.97466667,38.98266667,8.526333333,24.85,6.7517604,1.500795647,2.914500176,1.396,26.042,0,42.164,15.586,32.564,41.765,18.043,18.116,21.984,49.759,45.205,28.175,16.382,8.584,32.037,11.617,25.737,11.602,6.766,7.211,31.502,31.962,11.086,26.345,23.515,28.432,20.543,40.029,32.152,17.896,29.873,30.501,0,0,0,y
1810058I24Rik,47.612,71.79066667,60.71733333,113.363,22.2790302,1.507827158,1.867061575,138.201,76.464,67.298,72.071,100.927,116.586,58.007,44.335,40.494,87,71.973,56.399,126.346,105.459,69.682,88.102,129.649,94.143,52.209,40.077,89.866,96.359,171.432,72.298,62.12,87.631,64.422,54.942,105.889,80.789,82.322,145.983,45.751,141.844,120.325,118.051,y
Sh2d1a,128.1613333,193.3263333,117.8733333,317.96,2.7739446,1.50846069,2.697471863,64.913,49.868,82.673,348.096,300.929,324.568,116.593,146.409,121.482,182.886,199.482,197.611,117.486,59.128,71.449,335.095,215.412,333.901,144.496,118.148,90.976,280.738,368.046,305.096,78.481,94.966,116.157,296.447,205.495,167.126,59.653,217.002,131.605,166.624,353.319,115.539,y
Prpf19,104.584,158.005,70.05233333,107.3393333,10.2418008,1.51079515,1.53227349,148.671,84.775,132.566,128.82,172.958,167.43,59.747,131.458,122.547,145.935,167.494,160.586,180.216,91.124,178.497,159.126,135.959,192.575,93.343,54.129,62.685,94.969,109.445,117.604,110.512,111.879,102.571,163.631,68.421,87.807,60.25,73.273,75.687,31.616,29.534,159.075,y
Fbxo6,17.41733333,26.33,3.682333333,34.819,0.6256572,1.511712471,9.455689328,22.336,18.839,8.122,19.243,31.508,18.279,6.381,14.435,31.436,24.322,27.545,27.123,32.251,2.048,18.43,26.855,21.943,22.125,1.055,8.328,1.664,18.531,28.088,57.838,21.908,21.401,12.866,21.26,30.487,25.95,30.423,6.764,45.751,0,36.098,0,y
Ppapdc1b,9.174,13.87166667,3.200666667,19.739,1.6783032,1.512063077,6.167152676,21.638,5.541,32.489,24.882,12.805,1.382,10.441,14.95,2.131,18.242,3.999,19.374,14.176,11.263,26.762,8.009,8.462,3.612,7.383,0,2.219,17.604,34.383,7.23,7.21,8.629,6.298,13.138,5.12,6.855,14.317,0,15.815,32.47,1.094,2.512,y
Timm23,56.171,84.96266667,52.50533333,93.50033333,28.6912752,1.51257173,1.780777826,12.564,69.261,67.588,93.153,70.093,79.26,41.765,49.49,77.258,57.064,76.416,121.408,48.022,78.838,57.816,66.312,66.402,47.861,41.134,77.551,38.831,69.953,85.232,125.316,48.808,59.327,62.173,67.602,51.199,69.69,69.794,45.091,27.112,4.272,21.877,82.887,y
Ttll12,19.5,29.49533333,10.95533333,42.06966667,11.4842196,1.512581196,3.84010832,17.45,33.245,67.588,97.442,94.862,96.157,6.961,36.087,15.452,39.29,31.544,17.652,55.642,45.562,37.618,81.035,33.416,87.934,8.965,16.135,7.766,37.524,0,88.685,28.841,32.921,38.779,55.897,51.199,56.307,19.686,7.891,6.778,0,17.502,6.698,y
Cdk5r1,20.508,31.04966667,11.80666667,36.44966667,0.5663532,1.514027047,3.087210615,14.658,9.974,24.077,96.707,56.614,75.727,21.462,12.888,27.174,16.839,59.089,17.221,7.265,1.536,3.282,101.647,30.404,104.528,0,26.544,8.876,40.304,25.666,43.379,3.744,12.513,3.419,8.6,5.818,31.01,10.738,1.691,0,5.981,0,18.419,y
Hprt,104.547,158.483,79.34066667,148.7226667,34.6068492,1.515901939,1.874482191,0.698,100.844,98.627,120.24,101.012,165.586,29.583,172.7,111.358,158.096,182.599,134.754,111.993,93.684,81.548,129.209,126.494,64.568,68.557,80.153,89.312,138.979,137.049,170.14,81.671,81.504,90.245,122.305,81.686,132.689,94.849,84.546,97.15,118.773,144.39,156.564,y
Glrx5,58.553,88.824,68.10233333,104.5006667,41.9931624,1.516984612,1.534465291,11.866,63.351,37.13,70.11,67.903,73.884,13.342,101.043,61.274,44.435,149.278,72.759,70.527,74.231,49.484,65.134,56.793,72.469,65.92,63.498,74.889,91.726,115.257,106.519,53.661,60.06,41.928,80.263,50.036,60.877,14.317,40.582,34.454,116.21,124.701,40.187,y
Hadh,49.70666667,75.538,48.94166667,99.55966667,2.3306472,1.519675429,2.03425166,36.993,27.15,31.619,84.082,53.834,50.69,25.523,79.906,43.691,77.645,69.752,79.217,60.781,47.098,21.965,39.458,41.304,40.976,28.477,22.38,95.968,97.749,90.074,110.856,29.535,53.718,46.247,25.799,30.72,35.416,24.458,69.328,40.103,71.777,51.412,87.91,y
Fbl,65.59033333,99.67966667,39.21966667,86.10933333,4.1720364,1.519731058,2.19556515,6.98,78.311,81.512,106.758,19.377,47.618,31.324,87.123,78.324,143.596,14.661,140.782,84.172,24.573,111.592,59.245,50.483,33.074,38.497,10.93,68.232,72.733,108.477,77.118,89.436,65.022,94.474,40.609,82.85,50.595,15.51,77.219,89.807,26.489,6.563,84.561,y
Psma1,68.011,103.4876667,51.828,120.3636667,56.4974382,1.521631305,2.322367575,114.47,85.699,50.184,134.213,124.769,118.122,46.405,81.968,75.66,110.854,50.648,148.961,71.236,43.77,108.057,130.858,78.736,127.33,76.994,37.995,40.495,86.167,142.86,132.064,69.885,82.885,83.497,71.186,82.384,63.488,32.213,70.455,97.15,93.993,78.758,142.331,y
Itpk1,37.54566667,57.146,23.281,59.03766667,15.960189,1.522039827,2.535873316,12.564,42.849,29.298,53.072,40.017,23.502,70.188,21.136,21.313,75.774,30.655,65.009,32.96,38.651,40.143,46.053,44.459,47.184,35.86,6.246,27.737,49.106,59.565,68.442,29.535,38.012,28.612,42.52,30.487,43.577,41.161,41.709,18.074,8.545,77.665,51.909,y
Pear1,57.63866667,87.75866667,95.331,153.811,15.1403112,1.52256587,1.613441588,16.752,12.559,21.756,77.586,60.489,56.373,73.088,73.72,26.108,106.177,95.965,61.134,24.631,15.102,28.277,111.895,72.712,114.348,47.99,159.786,78.217,180.673,153.998,126.762,13.311,14.756,19.255,24.366,62.137,57.45,29.23,53.546,90.937,96.557,52.506,1.674,y
Clns1a,69.374,105.6376667,51.77566667,91.58433333,63.3233286,1.522727055,1.768868258,100.51,41.741,40.611,106.145,76.833,68.815,77.149,66.502,64.471,107.112,59.978,149.823,69.464,88.053,55.291,59.599,60.665,51.925,50.627,35.913,68.787,118.133,96.854,59.766,41.737,78.225,62.622,70.708,70.05,47.167,55.478,40.582,62.131,6.836,74.383,61.118,y
Irf5,24.833,37.819,5.65,58.71933333,14.499828,1.522933194,10.39280236,0.698,0,0.87,6.374,15.417,10.906,27.843,38.664,7.992,47.709,37.764,27.984,7.088,0.256,2.777,23.321,11.904,9.143,14.766,0.52,1.664,73.659,67.314,35.185,3.605,2.761,2.969,43.953,32.349,20.891,25.054,32.691,11.861,0,37.191,33.49,y
Etv5,7.933,12.08466667,10.72266667,20.32533333,3.9896766,1.523341317,1.89554837,0,0,0,6.496,3.37,2.458,14.502,8.764,0.533,9.355,6.664,20.235,0.354,0,6.312,8.245,14.342,8.692,11.075,16.655,4.438,31.965,19.371,9.64,1.109,0.863,1.889,3.583,0.233,4.733,0,0,16.945,4.272,0,20.931,y
Rab11fip4,29.434,44.84833333,12.16066667,45.04966667,1.0852632,1.523691423,3.704539224,41.879,50.053,53.084,46.454,53.497,37.019,37.124,30.931,20.247,41.161,40.429,52.955,50.503,34.3,57.058,71.848,81.317,50.006,12.129,17.696,6.657,50.496,64.892,19.761,35.081,48.41,64.152,33.204,43.519,30.683,26.248,36.073,21.463,62.377,48.13,9.21,y
Prps2,49.41166667,75.29266667,52.969,106.701,20.7875346,1.523783182,2.014404652,71.194,81.266,75.711,86.656,119.883,106.295,38.284,73.72,36.231,57.064,71.085,97.729,67.337,70.647,51.504,89.516,59.375,95.836,45.353,53.088,60.466,111.184,148.671,60.248,53.8,84.697,74.319,53.031,91.46,50.758,41.161,89.619,78.511,26.489,41.567,29.303,y
Gm9396,34.62666667,52.839,17.15766667,45.599,8.4671286,1.525962649,2.657645756,40.483,21.979,345.484,244.525,127.971,241.467,38.284,45.882,19.714,132.37,10.218,15.929,209.1,11.775,220.912,243.224,2.151,14.9,10.547,18.737,22.189,14.824,108.477,13.496,206.742,107.91,351.442,14.572,13.963,14.036,25.054,39.455,26.547,69.213,121.419,55.258,y
Aagab,33.521,51.22933333,26.436,71.72633333,29.0041038,1.528275807,2.713206738,23.034,30.29,40.611,48.415,32.688,41.013,52.786,21.136,26.641,52.855,72.418,28.415,38.63,25.341,18.43,38.162,47.184,33.977,40.607,10.41,28.291,50.959,73.125,91.095,27.455,28.434,43.548,23.649,28.392,39.66,66.215,42.837,29.936,98.266,0,5.023,y
Cycs,60.85866667,93.048,50.15433333,102.2986667,0.9874116,1.528919464,2.039677529,1.396,44.696,21.466,92.907,102.697,115.511,35.964,76.813,69.799,75.306,75.972,127.866,71.767,35.068,37.871,80.093,85.476,73.147,49.572,43.199,57.692,76.902,120.584,109.41,50.888,71.408,42.828,71.424,74.239,38.681,60.25,45.091,32.195,144.408,156.423,42.699,y
Nop16,30.30933333,46.36733333,11.46033333,31.41266667,9.3522408,1.529803801,2.740990665,7.678,9.235,21.176,32.358,31.929,28.263,35.964,13.404,41.56,33.677,39.985,65.44,49.085,48.122,33.579,28.268,23.09,13.884,21.622,0,12.759,42.62,9.685,41.933,27.871,18.985,27.172,6.211,5.353,13.22,36.985,52.982,23.158,8.545,49.224,13.396,y
Lsm12,68.15933333,104.3116667,49.988,84.53433333,3.750978,1.53040914,1.691092529,97.02,28.258,58.886,79.915,89.133,58.063,55.686,91.248,57.544,112.257,99.074,101.604,54.402,24.317,48.727,45.582,47.328,58.247,44.826,62.978,42.16,112.11,57.628,83.865,61.565,34.302,66.221,62.586,57.017,50.268,54.881,66.51,49.705,0.854,44.849,0,y
Decr2,9.172333333,14.06133333,18.88366667,33.02633333,1.2498318,1.533015953,1.74893647,0,9.604,21.756,18.018,14.406,28.571,6.381,21.136,0,16.371,13.328,12.485,37.744,0,9.089,39.458,7.888,32.058,4.219,12.491,39.941,42.157,10.17,46.752,20.522,19.545,18.175,11.466,10.705,42.434,11.931,0.564,14.685,140.99,0,0,y
Coq9,13.42766667,20.598,18.25633333,32.13933333,1.0645068,1.533996971,1.760448429,13.96,34.723,22.336,19.734,27.717,11.674,30.744,1.547,7.992,25.258,11.996,24.54,25.517,23.805,29.792,28.15,29.831,24.382,33.224,18.217,3.328,37.988,23.245,35.185,24.404,29.426,33.471,5.733,24.669,21.217,16.106,27.618,3.389,29.052,39.379,0,y
Cep152,18.123,27.87266667,12.89333333,34.21533333,5.0571486,1.537972006,2.653722855,1.396,23.456,29.008,25.985,25.948,42.241,1.16,18.043,35.166,22.451,28.878,32.289,29.593,33.276,28.024,22.143,32.842,33.638,5.801,14.573,18.306,41.231,43.1,18.315,12.618,15.188,26.543,38.22,22.807,21.87,14.317,9.018,26.547,11.108,0,70.328,y
Mkrn1,88.704,136.4246667,90.23466667,148.805,11.4871848,1.537976491,1.649089042,83.758,85.145,84.703,134.703,115.671,124.113,77.729,134.036,54.347,162.306,92.41,154.558,57.414,103.923,114.117,106.712,151.161,104.528,92.815,78.592,99.297,119.522,124.942,201.951,121.743,112.958,71.89,113.945,109.147,129.099,56.074,120.619,102.234,117.064,75.477,122.237,y
Pole3,27.086,41.65866667,18.53,52.00666667,8.1543,1.538014719,2.806619896,6.98,4.802,8.122,28.436,33.362,59.445,27.263,42.273,11.722,29.935,24.435,70.606,16.834,2.816,8.584,38.986,31.121,38.154,5.274,10.93,39.386,46.326,60.05,49.644,10.677,11.952,12.776,21.021,22.109,27.419,8.351,9.018,10.167,28.198,165.174,1.674,y
Ergic1,71.78566667,110.4473333,59.76833333,181.395,57.977073,1.538570838,3.03496835,21.638,14.222,15.664,29.662,60.321,49,78.889,93.31,43.158,69.225,150.611,111.506,18.075,25.597,20.955,34.628,30.978,48.877,105.472,24.462,49.371,165.849,199.52,178.816,18.303,9.535,15.116,15.766,3.724,11.098,47.723,43.4,62.131,99.975,53.599,8.372,y
Timm22,16.75866667,25.79966667,28.46766667,43.42133333,27.4310652,1.539482059,1.525285997,40.483,27.335,38.871,20.592,41.112,42.702,24.943,7.217,18.116,21.516,52.869,3.014,26.403,65.016,7.827,32.155,52.204,32.623,54.845,16.135,14.423,52.812,70.704,6.748,24.127,28.908,14.576,36.309,17.454,35.743,30.423,21.982,19.204,24.78,99.542,13.396,y
Ucp2,481.2056667,740.8206667,548.1976667,855.746,7.6146336,1.53950944,1.561017224,395.06,409.286,502.417,897.206,817.024,708.735,540.042,478.921,424.654,774.576,779.712,668.174,492.981,396.75,320.638,819.658,741.751,857.668,467.24,704.723,472.63,895.954,766.117,905.167,512.902,543.475,460.671,555.868,599.031,639.128,452.769,434.003,560.873,434.932,425.514,736.77,y
Atrnl1,6.882,10.61033333,6.588333333,11.03833333,4.988949,1.541751428,1.675436377,0,0,0,3.309,4.971,7.834,17.982,0,2.664,9.823,15.55,6.458,0,0,0,0,2.295,4.289,0,3.123,16.642,17.141,14.528,1.446,0,4.056,3.059,0,1.164,7.018,0,29.309,0,0,0,11.721,y
Aaas,47.17533333,72.87166667,31.012,88.95066667,23.0722212,1.544698501,2.868266048,57.933,36.016,40.611,64.594,63.438,57.295,89.33,16.497,35.699,53.322,96.409,68.884,32.074,17.662,44.182,48.763,54.498,68.632,22.676,60.375,9.985,98.675,94.433,73.744,56.989,60.923,54.165,54.225,55.156,68.548,15.51,43.964,62.131,20.508,1.094,0,y
Ndfip1,56.724,87.65433333,42.611,92.609,6.9919416,1.545277719,2.173358992,7.678,86.992,33.649,57.975,58.13,68.969,73.088,44.335,52.749,94.016,89.3,79.647,59.54,36.347,30.296,53.945,66.402,51.474,12.129,54.129,61.575,101.455,94.917,81.455,43.678,37.236,40.759,44.909,50.734,35.743,25.054,48.473,34.454,20.508,145.484,21.768,y
