NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hist1h2ap	na	4	3.391573190689087	0.027742658	Yes	
row_1	Bcl2a1b	na	7	3.2616403102874756	0.054470174	Yes	
row_2	Ahcy	na	9	3.0699362754821777	0.07964956	Yes	
row_3	S100a4	na	11	2.911309003829956	0.10352656	Yes	
row_4	Maf	na	27	2.2425951957702637	0.12155165	Yes	
row_5	Akip1	na	34	2.1291160583496094	0.13887745	Yes	
row_6	C330027C09Rik	na	40	2.0516881942749023	0.15559338	Yes	
row_7	Bmp7	na	52	1.9934755563735962	0.17167641	Yes	
row_8	Pgp	na	54	1.98222815990448	0.18792534	Yes	
row_9	Gm10143	na	59	1.9235482215881348	0.20361502	Yes	
row_10	Arpc4	na	69	1.8299553394317627	0.21840715	Yes	
row_11	Cst7	na	90	1.705639362335205	0.23189452	Yes	
row_12	Ahnak	na	99	1.663451910018921	0.24534541	Yes	
row_13	Ddx1	na	124	1.531896948814392	0.257303	Yes	
row_14	Cd44	na	129	1.5230278968811035	0.26970428	Yes	
row_15	Prdx1	na	160	1.4378299713134766	0.2807346	Yes	
row_16	Nop9	na	224	1.291492223739624	0.2897112	Yes	
row_17	1700017B05Rik	na	255	1.227962851524353	0.29901844	Yes	
row_18	Mif4gd	na	270	1.206595540046692	0.30856344	Yes	
row_19	Mki67	na	286	1.180126667022705	0.31786528	Yes	
row_20	Grn	na	290	1.16693115234375	0.3273687	Yes	
row_21	Dek	na	295	1.156886339187622	0.33676386	Yes	
row_22	Mrps7	na	340	1.104982614517212	0.34469983	Yes	
row_23	Mcm10	na	342	1.1041468381881714	0.3537394	Yes	
row_24	Pgam1	na	343	1.1037795543670654	0.36280182	Yes	
row_25	Ahi1	na	348	1.0985420942306519	0.3717179	Yes	
row_26	Anp32e	na	399	1.0573492050170898	0.37910786	Yes	
row_27	Hmgn2	na	402	1.0552457571029663	0.38772014	Yes	
row_28	Syngr2	na	474	0.9995886087417603	0.3940935	Yes	
row_29	Gm10259	na	490	0.987223207950592	0.40181157	Yes	
row_30	Cenpm	na	506	0.9787209630012512	0.4094598	Yes	
row_31	Podnl1	na	535	0.9626471996307373	0.41664037	Yes	
row_32	Gadd45b	na	559	0.9365808367729187	0.42373604	Yes	
row_33	Gna15	na	603	0.9040895700454712	0.43004844	Yes	
row_34	Cdc6	na	609	0.8994961977005005	0.43730447	Yes	
row_35	Rpia	na	624	0.8902121186256409	0.44425187	Yes	
row_36	Kif20b	na	625	0.8894909620285034	0.4515549	Yes	
row_37	Eea1	na	627	0.8886544704437256	0.4588252	Yes	
row_38	Pcna	na	630	0.8875076770782471	0.4660603	Yes	
row_39	Topbp1	na	635	0.8841602802276611	0.47321627	Yes	
row_40	Tox2	na	658	0.8692084550857544	0.4797846	Yes	
row_41	Ywhae	na	680	0.8595782518386841	0.4862997	Yes	
row_42	Kif2c	na	704	0.8466113209724426	0.49265668	Yes	
row_43	Sapcd2	na	766	0.819016695022583	0.49780574	Yes	
row_44	Abracl	na	774	0.8158292174339294	0.5043232	Yes	
row_45	Syt11	na	795	0.8059430122375488	0.5104238	Yes	
row_46	Dlgap5	na	822	0.7938247323036194	0.51626986	Yes	
row_47	Arl5a	na	885	0.7694946527481079	0.52098656	Yes	
row_48	Rgs16	na	969	0.7349206805229187	0.524877	Yes	
row_49	Ehd4	na	987	0.730297327041626	0.53043395	Yes	
row_50	Mafg_1	na	999	0.7251555323600769	0.53610367	Yes	
row_51	Lrrc59	na	1003	0.7243576645851135	0.5419734	Yes	
row_52	Polr3k	na	1029	0.7180689573287964	0.5472233	Yes	
row_53	Calhm2	na	1047	0.7114924192428589	0.55262595	Yes	
row_54	Agpat4	na	1070	0.7054745554924011	0.55784994	Yes	
row_55	Gsr	na	1081	0.7007752060890198	0.5633453	Yes	
row_56	Stk35	na	1100	0.69661545753479	0.5685999	Yes	
row_57	Unc119	na	1191	0.6672742962837219	0.57175416	Yes	
row_58	Egln3	na	1211	0.6598255634307861	0.5766809	Yes	
row_59	Gm14005	na	1244	0.6507030725479126	0.58119696	Yes	
row_60	Shcbp1	na	1252	0.6477863788604736	0.58633476	Yes	
row_61	Ran	na	1263	0.6428297758102417	0.59135437	Yes	
row_62	Pdcd1	na	1297	0.6337880492210388	0.59570575	Yes	
row_63	Casp1	na	1307	0.6306917071342468	0.6006515	Yes	
row_64	Cnbd2	na	1334	0.6224231719970703	0.6050904	Yes	
row_65	Prr11	na	1372	0.6094560623168945	0.60913867	Yes	
row_66	Dtl	na	1396	0.6035751700401306	0.61350024	Yes	
row_67	Pcyox1l	na	1438	0.5942293405532837	0.61732024	Yes	
row_68	Cenph	na	1472	0.5868057012557983	0.62128586	Yes	
row_69	Cd82	na	1485	0.5842891335487366	0.6257732	Yes	
row_70	Maged1	na	1506	0.5805476903915405	0.6300232	Yes	
row_71	Lcorl	na	1890	0.5606340169906616	0.6247352	Yes	
row_72	Tnfrsf8	na	1950	0.5560657382011414	0.627777	Yes	
row_73	Uqcc2	na	1978	0.5536763072013855	0.63162553	Yes	
row_74	Pnp	na	2108	0.5384727120399475	0.63271517	Yes	
row_75	Cenpn	na	2274	0.5193714499473572	0.6327182	Yes	
row_76	Myadm	na	2343	0.5086385607719421	0.6351382	Yes	
