NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Helq	na	157	2.0283493995666504	0.057512525	Yes	
row_1	Cks2	na	330	1.538619875907898	0.09977277	Yes	
row_2	Cebpa	na	346	1.5074340105056763	0.14514098	Yes	
row_3	Mcm3	na	372	1.4768040180206299	0.1893212	Yes	
row_4	Tpi1	na	736	1.118944764137268	0.21391034	Yes	
row_5	Ppp1r16a	na	1080	0.9696526527404785	0.23448446	Yes	
row_6	Klhl25	na	1464	0.8195943832397461	0.24947083	Yes	
row_7	Sirpa	na	1513	0.8032984137535095	0.27261397	Yes	
row_8	Clec11a	na	1979	0.6724275946617126	0.2810157	Yes	
row_9	Plekhh3	na	2683	0.5539321899414062	0.2796743	Yes	
row_10	Gm15697	na	2772	0.549159049987793	0.29407045	Yes	
row_11	Tiam2	na	3004	0.5346554517745972	0.30433342	Yes	
row_12	Tecr	na	3236	0.5142886638641357	0.31397817	Yes	
row_13	Hist1h2bb	na	3605	0.4725320041179657	0.3188174	Yes	
row_14	Perp	na	3662	0.4657686650753021	0.33150882	Yes	
row_15	Pcbp1	na	4460	0.35222557187080383	0.3216174	Yes	
row_16	Ly6f	na	4751	0.33025676012039185	0.3241525	Yes	
row_17	Sesn1	na	4856	0.32451504468917847	0.3313168	Yes	
row_18	Oaf	na	4970	0.30729344487190247	0.3377259	Yes	
row_19	Camta1	na	5037	0.2963913083076477	0.3450179	Yes	
row_20	Vprbp	na	5062	0.29267585277557373	0.3532818	Yes	
row_21	Tmem106a	na	5187	0.27212023735046387	0.35833922	Yes	
row_22	Tmem254b	na	5324	0.2552351653575897	0.36257422	Yes	
row_23	Gm12940	na	5512	0.2283766269683838	0.3646769	Yes	
row_24	Ska2	na	5832	0.18297822773456573	0.3619927	Yes	
row_25	Cox14	na	5972	0.1654997020959854	0.36342645	Yes	
row_26	BC026590	na	6007	0.16035450994968414	0.3674157	Yes	
row_27	Hcfc1	na	6493	0.10380333662033081	0.3580413	No	
row_28	Ddx52	na	7003	0.03956422954797745	0.3460972	No	
row_29	Rpgrip1	na	7066	0.03153127059340477	0.3454531	No	
row_30	Acad11	na	7109	0.024641525000333786	0.3451164	No	
row_31	Gm23114	na	7342	0.0	0.339125	No	
row_32	Gm13786	na	7352	0.0	0.33889258	No	
row_33	Gm23166	na	7508	0.0	0.33488968	No	
row_34	Mmp21	na	8032	0.0	0.32138315	No	
row_35	Shc2	na	8074	0.0	0.3203243	No	
row_36	1700003M02Rik	na	8157	0.0	0.31820664	No	
row_37	Tenm2	na	8209	0.0	0.31688958	No	
row_38	Gm11487	na	8496	0.0	0.3095036	No	
