NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tbc1d31	na	6	4.766475200653076	0.0136356745	Yes	
row_1	Hist1h2ap	na	16	4.619014263153076	0.026767232	Yes	
row_2	Sgol1	na	20	4.483511924743652	0.039661694	Yes	
row_3	Maf	na	21	4.468888282775879	0.052591328	Yes	
row_4	Shcbp1	na	27	4.389558792114258	0.06516231	Yes	
row_5	S100a4	na	28	4.380464553833008	0.07783611	Yes	
row_6	Pgam1	na	30	4.300688743591309	0.09025327	Yes	
row_7	Sapcd2	na	37	4.189416885375977	0.102219366	Yes	
row_8	Ebi3	na	45	4.040065288543701	0.11372753	Yes	
row_9	Gm14005	na	52	3.9821486473083496	0.12509395	Yes	
row_10	Tuba1c	na	53	3.964580535888672	0.1365645	Yes	
row_11	Coro2b	na	76	3.5539510250091553	0.14627881	Yes	
row_12	E2f1	na	77	3.542999505996704	0.15652962	Yes	
row_13	Mki67	na	78	3.5320451259613037	0.16674872	Yes	
row_14	Cst7	na	81	3.4971745014190674	0.17681529	Yes	
row_15	Cenpn	na	94	3.2965102195739746	0.18604302	Yes	
row_16	Myo1e	na	99	3.250926971435547	0.19534549	Yes	
row_17	Pif1	na	112	3.1465396881103516	0.20413932	Yes	
row_18	Pcna	na	118	3.0940940380096436	0.2129622	Yes	
row_19	Dera	na	131	2.984321117401123	0.2212867	Yes	
row_20	Kif14	na	137	2.9013137817382812	0.2295518	Yes	
row_21	Spc25	na	140	2.877117156982422	0.2378244	Yes	
row_22	Cdc6	na	149	2.80293607711792	0.2457274	Yes	
row_23	Ube2n	na	153	2.7720816135406494	0.25367025	Yes	
row_24	2610318N02Rik	na	154	2.77181339263916	0.2616898	Yes	
row_25	Itfg3	na	157	2.7570793628692627	0.2696151	Yes	
row_26	Ran	na	166	2.6288840770721436	0.27701452	Yes	
row_27	E2f2	na	188	2.5075881481170654	0.2837273	Yes	
row_28	Timp2	na	191	2.487929344177246	0.29087386	Yes	
row_29	Eea1	na	194	2.441359281539917	0.2978857	Yes	
row_30	Mcm10	na	206	2.3819589614868164	0.30449322	Yes	
row_31	Lrba	na	219	2.338439464569092	0.31094903	Yes	
row_32	Hmgn2	na	228	2.2991230487823486	0.31739435	Yes	
row_33	Prdx1	na	230	2.2854957580566406	0.32398105	Yes	
row_34	Kdelr2	na	233	2.2755839824676514	0.33051324	Yes	
row_35	Dtl	na	237	2.257885217666626	0.33696842	Yes	
row_36	C330027C09Rik	na	240	2.242859125137329	0.34340593	Yes	
row_37	Prr11	na	251	2.2042365074157715	0.3495251	Yes	
row_38	Tnfaip8_1	na	252	2.2017266750335693	0.35589525	Yes	
row_39	Espl1	na	253	2.1988699436187744	0.36225712	Yes	
row_40	Fignl1	na	269	2.1672983169555664	0.3681403	Yes	
row_41	Pnp	na	270	2.167060613632202	0.37441015	Yes	
row_42	Maged1	na	273	2.1572515964508057	0.38059998	Yes	
row_43	Naa50	na	278	2.147861957550049	0.386711	Yes	
row_44	Ccp110	na	279	2.1462857723236084	0.39292073	Yes	
row_45	Il12rb1	na	281	2.1415188312530518	0.3990909	Yes	
row_46	Lgmn	na	292	2.1022567749023438	0.404915	Yes	
row_47	Wdhd1	na	298	2.080702304840088	0.41080588	Yes	
row_48	Ahnak	na	312	2.047513484954834	0.4163941	Yes	
row_49	Kif20b	na	316	2.0357303619384766	0.42220652	Yes	
row_50	Rangap1	na	325	2.0156266689300537	0.42783165	Yes	
row_51	1700017B05Rik	na	326	2.0128579139709473	0.43365535	Yes	
row_52	Ehd4	na	327	2.0086302757263184	0.43946683	Yes	
row_53	Cd44	na	329	2.004241704940796	0.44523978	Yes	
row_54	Sfxn1	na	331	1.996264100074768	0.45098966	Yes	
row_55	Gm21972	na	338	1.9836739301681519	0.456574	Yes	
row_56	Lamc1	na	356	1.9423521757125854	0.46175468	Yes	
row_57	Cenph	na	362	1.9284299612045288	0.467205	Yes	
row_58	Lsm6	na	373	1.9070996046066284	0.47246447	Yes	
row_59	Rgs16	na	385	1.8889957666397095	0.47764573	Yes	
row_60	Kif2c	na	388	1.88206148147583	0.48303938	Yes	
row_61	Aldoa	na	390	1.8789228200912476	0.48844975	Yes	
row_62	Cdk2ap1	na	395	1.8586455583572388	0.493724	Yes	
row_63	Mcm7	na	416	1.8004704713821411	0.4984167	Yes	
row_64	Pnkd	na	421	1.7881985902786255	0.5034871	Yes	
row_65	Sdhd	na	430	1.7764729261398315	0.5084203	Yes	
row_66	Myadm	na	431	1.7741955518722534	0.5135535	Yes	
row_67	Mesdc1	na	439	1.7628413438796997	0.5184731	Yes	
row_68	Pbk	na	454	1.737847089767456	0.52313954	Yes	
row_69	Etf1	na	460	1.7331228256225586	0.5280248	Yes	
row_70	Prdm1	na	462	1.7295480966567993	0.533003	Yes	
row_71	Arpc4	na	466	1.7207907438278198	0.5379042	Yes	
row_72	Rfc5	na	476	1.697638988494873	0.54258347	Yes	
row_73	Grn	na	477	1.6976139545440674	0.54749507	Yes	
row_74	Cited2	na	482	1.6931908130645752	0.5522906	Yes	
row_75	Mafg_1	na	484	1.6918225288391113	0.55715966	Yes	
row_76	P4hb	na	497	1.6721917390823364	0.5616878	Yes	
row_77	Gna15	na	503	1.6663198471069336	0.5663798	Yes	
row_78	Mrpl51	na	514	1.6516942977905273	0.5709003	Yes	
row_79	Nop9	na	516	1.6507927179336548	0.5756507	Yes	
row_80	Cd82	na	518	1.6489934921264648	0.5803958	Yes	
row_81	Dap	na	526	1.639569640159607	0.58495873	Yes	
row_82	Uqcc2	na	527	1.6391901969909668	0.5897013	Yes	
row_83	Podnl1	na	563	1.5880097150802612	0.59339195	Yes	
row_84	Ect2	na	564	1.5878710746765137	0.59798604	Yes	
row_85	Slc43a3	na	565	1.58684504032135	0.6025772	Yes	
row_86	Lcorl	na	576	1.5745255947113037	0.60687447	Yes	
row_87	Atp5g3	na	582	1.5699740648269653	0.61128765	Yes	
row_88	Idh3a	na	597	1.5556083917617798	0.6154269	Yes	
row_89	Pold3	na	600	1.5533726215362549	0.61986953	Yes	
row_90	Ndufb9	na	627	1.5275664329528809	0.6236177	Yes	
row_91	Ahcy	na	642	1.5149388313293457	0.6276393	Yes	
row_92	Dek	na	647	1.5110543966293335	0.6319078	Yes	
row_93	Pdk3	na	650	1.5085399150848389	0.63622075	Yes	
row_94	Hivep3_1	na	652	1.507861852645874	0.6405576	Yes	
row_95	Ybx3	na	661	1.5022680759429932	0.6446974	Yes	
row_96	Dnmt1	na	668	1.4987573623657227	0.64887875	Yes	
row_97	Cenpm	na	676	1.4898842573165894	0.6530086	Yes	
row_98	Ccdc34	na	686	1.481703758239746	0.6570631	Yes	
row_99	Tmem160	na	688	1.4792827367782593	0.6613172	Yes	
row_100	Ckap5	na	691	1.4753549098968506	0.66553414	Yes	
row_101	Stk35	na	692	1.4745434522628784	0.6698004	Yes	
row_102	Bmp7	na	704	1.4652595520019531	0.6737557	Yes	
row_103	Pcyox1l	na	714	1.4517241716384888	0.67772347	Yes	
row_104	Ckb	na	718	1.4485350847244263	0.68183696	Yes	
row_105	Bard1	na	723	1.4385645389556885	0.6858958	Yes	
row_106	Ywhae	na	727	1.437013864517212	0.689976	Yes	
row_107	Ahi1	na	733	1.4283654689788818	0.6939795	Yes	
row_108	Mrps30	na	753	1.4082095623016357	0.6975631	Yes	
row_109	Snrpd2	na	756	1.4067907333374023	0.70158166	Yes	
row_110	Blmh	na	761	1.3994977474212646	0.7055275	Yes	
row_111	Snrnp25	na	763	1.3985543251037598	0.709548	Yes	
row_112	Arl5a	na	774	1.3877087831497192	0.71330476	Yes	
row_113	Anp32e	na	776	1.3871746063232422	0.71729237	Yes	
row_114	Tnfsf11	na	777	1.3866902589797974	0.7213044	Yes	
row_115	Gadd45b	na	778	1.3866755962371826	0.7253164	Yes	
row_116	Lrrc59	na	792	1.370985507965088	0.72894734	Yes	
row_117	Dlgap5	na	801	1.3678797483444214	0.7326983	Yes	
