NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	2310015A10Rik	na	355	1.4979665279388428	0.03472912	Yes	
row_1	Spopl	na	414	1.4044747352600098	0.07438857	Yes	
row_2	Aagab	na	523	1.2834396362304688	0.10920991	Yes	
row_3	Fcna	na	598	1.213568925857544	0.14286178	Yes	
row_4	St7l	na	901	1.0398626327514648	0.16553517	Yes	
row_5	Pgrmc2	na	1022	0.9885732531547546	0.19140571	Yes	
row_6	Zfp704	na	1058	0.9753960371017456	0.21908525	Yes	
row_7	Gm10221	na	1813	0.707624614238739	0.22034964	Yes	
row_8	Pck2	na	1838	0.6994959115982056	0.24022815	Yes	
row_9	Hic1	na	2062	0.6585960984230042	0.25376892	Yes	
row_10	Arnt2	na	2064	0.6574559807777405	0.27300945	Yes	
row_11	Ttc37	na	2251	0.6166181564331055	0.28627563	Yes	
row_12	Ipcef1	na	2436	0.5751602649688721	0.29837853	Yes	
row_13	Pkn3	na	2976	0.5371848940849304	0.3002007	Yes	
row_14	Mphosph8	na	3451	0.4897620975971222	0.30231178	Yes	
row_15	Nutm1	na	3454	0.48976197838783264	0.31661233	Yes	
row_16	Tspo	na	3542	0.48152732849121094	0.32847643	Yes	
row_17	Ang	na	3650	0.4657686650753021	0.3393622	Yes	
row_18	Acadl	na	3926	0.42744866013526917	0.34478644	Yes	
row_19	Tor4a	na	4376	0.3679656982421875	0.34397396	Yes	
row_20	Tuba3a	na	4393	0.3639931380748749	0.3542274	Yes	
row_21	Syncrip	na	4551	0.3383948802947998	0.3600893	Yes	
row_22	Hist2h2ab	na	4604	0.3365054428577423	0.3686075	Yes	
row_23	Dppa5a	na	4748	0.33025676012039185	0.37459248	Yes	
row_24	Gm27029	na	4866	0.3231387138366699	0.38104033	Yes	
row_25	Hdac3	na	4925	0.31571754813194275	0.3887944	Yes	
row_26	Tefm	na	4932	0.31425368785858154	0.39784846	Yes	
row_27	Cyld	na	5010	0.3001377582550049	0.4046553	Yes	
row_28	Serpinb9	na	5319	0.25611189007759094	0.40420637	Yes	
row_29	RP23-81K14.3	na	5406	0.24228137731552124	0.40908533	Yes	
row_30	Zc3hav1l	na	5539	0.2244759052991867	0.41225454	Yes	
row_31	Ccdc86	na	5701	0.20035961270332336	0.41396812	Yes	
row_32	2310016D23Rik	na	5806	0.1857827752828598	0.41672656	Yes	
row_33	Slc25a20	na	5900	0.174716055393219	0.41944477	Yes	
row_34	Dis3l2	na	6883	0.05380399897694588	0.3956612	No	
row_35	Sft2d1	na	7075	0.030456114560365677	0.3916211	No	
row_36	Gm23159	na	7607	0.0	0.377908	No	
row_37	Gm13417	na	7711	0.0	0.375248	No	
row_38	Gm13502	na	8205	0.0	0.36251622	No	
row_39	1700011E24Rik	na	8564	0.0	0.35327083	No	
row_40	Gm11521	na	8742	0.0	0.34869978	No	
row_41	Gm11561	na	8919	0.0	0.34415457	No	
row_42	AL596090.1	na	8934	0.0	0.343793	No	
row_43	Vmn1r173	na	9084	0.0	0.33994508	No	
row_44	Gm13887	na	9247	0.0	0.3357614	No	
row_45	Gm13851	na	9369	0.0	0.33263656	No	
row_46	Gm13846	na	9398	0.0	0.33191347	No	
row_47	BC061212	na	9552	0.0	0.32796222	No	
row_48	Gm11349	na	9810	0.0	0.32132515	No	
row_49	Gm23325	na	9817	0.0	0.3211702	No	
row_50	Gm3962	na	9971	0.0	0.31721896	No	
row_51	mmu-mir-7001	na	10391	0.0	0.30639824	No	
row_52	Itih2	na	10581	0.0	0.3015173	No	
row_53	Tigd4	na	10722	0.0	0.29790178	No	
row_54	Cfb	na	10975	0.0	0.29139385	No	
row_55	Gm6658	na	11311	0.0	0.28274244	No	
row_56	Gm6604	na	11423	0.0	0.27987584	No	
row_57	Gm16234	na	11601	0.0	0.27530482	No	
row_58	Trex2	na	12048	0.0	0.26378682	No	
row_59	4930443O20Rik	na	12389	0.0	0.25500628	No	
row_60	Gm18828	na	12801	0.0	0.24439216	No	
row_61	Gm9017	na	13281	0.0	0.23202193	No	
row_62	Gm12473	na	13386	0.0	0.22933611	No	
row_63	AV320801	na	13626	0.0	0.2231639	No	
row_64	Gm14753	na	13659	0.0	0.2223375	No	
row_65	Gm14773	na	13875	0.0	0.2167851	No	
row_66	Gm24198	na	14024	0.0	0.21296299	No	
row_67	Gm14813	na	14210	0.0	0.20818534	No	
row_68	Gm14812	na	14212	0.0	0.20815952	No	
row_69	Gm14835	na	14253	0.0	0.20712651	No	
row_70	Gm12281	na	14259	0.0	0.20699738	No	
row_71	Gm12263	na	14422	0.0	0.20281371	No	
row_72	Gm24234	na	14457	0.0	0.20193566	No	
row_73	Gm24719	na	14560	0.0	0.1993015	No	
row_74	Ppapdc3	na	14725	0.0	0.19506618	No	
row_75	Rfx8	na	15024	0.0	0.1873703	No	
row_76	Gm24898	na	15285	0.0	0.18065578	No	
row_77	Gm10287	na	15302	0.0	0.18024257	No	
row_78	Gm12870	na	15400	0.0	0.17773753	No	
